id,neutrino,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
149,right,Rh,103,f,45,b,Mg,26,b,12,b,Se,77,f,34,f,2.119147
150,none,Rh,103,f,45,b,Al,27,f,13,b,Ge,76,b,32,b,1.774500
151,right,Rh,103,f,45,b,Si,29,f,14,f,Ge,74,b,32,b,6.668564
152,right,Rh,103,f,45,b,Si,30,b,14,b,Ge,73,f,32,f,7.152941
153,right,Rh,103,f,45,b,S,33,f,16,f,Zn,70,b,30,b,7.443567
154,right,Rh,103,f,45,b,Ca,46,b,20,b,Fe,57,f,26,f,14.640291
155,none,Rh,103,f,45,b,Ca,48,b,20,b,Mn,55,f,25,b,13.397700
156,right,Rh,103,f,45,b,Ti,49,f,22,f,Cr,54,b,24,b,16.817192
157,right,Rh,103,f,45,b,Ti,50,b,22,b,Cr,53,f,24,f,18.032792
158,none,Pd,102,b,46,b,C,12,b,6,b,Zr,90,b,40,b,0.577500
159,none,Pd,102,b,46,b,O,16,b,8,b,Sr,86,b,38,b,0.712600
160,none,Pd,102,b,46,b,Mg,24,b,12,b,Se,78,b,34,b,2.372500
161,none,Pd,102,b,46,b,Mg,26,b,12,b,Se,76,b,34,b,2.906300
162,none,Pd,102,b,46,b,Al,27,f,13,b,As,75,f,33,b,1.700000
163,none,Pd,102,b,46,b,Si,28,b,14,b,Ge,74,b,32,b,6.392800
164,none,Pd,102,b,46,b,Si,29,f,14,f,Ge,73,f,32,f,4.740400
165,none,Pd,102,b,46,b,Si,30,b,14,b,Ge,72,b,32,b,8.473800
166,none,Pd,102,b,46,b,P,31,f,15,b,Ga,71,f,31,b,5.902900
167,none,Pd,102,b,46,b,S,32,b,16,b,Zn,70,b,30,b,7.003000
168,right,Pd,102,b,46,b,S,33,f,16,f,Ga,69,f,31,b,7.262857
169,none,Pd,102,b,46,b,S,34,b,16,b,Zn,68,b,30,b,11.373500
170,right,Pd,102,b,46,b,Cl,35,f,17,b,Zn,67,f,30,f,8.323829
171,none,Pd,102,b,46,b,Cl,37,f,17,b,Cu,65,f,29,b,10.486800
172,none,Pd,102,b,46,b,Ar,38,b,18,b,Ni,64,b,28,b,13.279400
173,none,Pd,102,b,46,b,Ar,40,b,18,b,Ni,62,b,28,b,13.237500
174,right,Pd,102,b,46,b,K,40,b,19,f,Ni,62,b,28,b,11.724714
175,right,Pd,102,b,46,b,K,41,f,19,b,Ni,61,f,28,f,11.230091
176,right,Pd,102,b,46,b,Ca,42,b,20,b,Co,60,b,27,f,11.649263
177,right,Pd,102,b,46,b,Ca,43,f,20,f,Co,59,f,27,b,12.081476
178,none,Pd,102,b,46,b,Ca,44,b,20,b,Fe,58,b,26,b,15.069700
179,none,Pd,102,b,46,b,Ca,46,b,20,b,Fe,56,b,26,b,15.201100
180,none,Pd,102,b,46,b,Ca,48,b,20,b,Fe,54,b,26,b,12.068400
181,right,Pd,102,b,46,b,Sc,45,f,21,b,Fe,57,f,26,f,12.693468
182,right,Pd,102,b,46,b,Ti,47,f,22,f,Mn,55,f,25,b,14.091641
183,none,Pd,102,b,46,b,Ti,48,b,22,b,Cr,54,b,24,b,16.872200
184,none,Pd,102,b,46,b,Ti,49,f,22,f,Cr,53,f,24,f,15.297000
185,none,Pd,102,b,46,b,Ti,50,b,22,b,Cr,52,b,24,b,18.290800
186,right,Pd,102,b,46,b,V,50,b,23,f,Cr,52,b,24,b,16.078518
187,none,Pd,102,b,46,b,V,51,f,23,b,V,51,f,23,b,15.820500
188,none,Pd,104,b,46,b,O,16,b,8,b,Sr,88,b,38,b,2.827100
189,none,Pd,104,b,46,b,Mg,24,b,12,b,Se,80,b,34,b,1.865800
190,none,Pd,104,b,46,b,Mg,26,b,12,b,Se,78,b,34,b,3.372900
191,right,Pd,104,b,46,b,Al,27,f,13,b,Se,77,f,34,f,1.947752
192,none,Pd,104,b,46,b,Si,28,b,14,b,Ge,76,b,32,b,4.911800
193,right,Pd,104,b,46,b,Si,29,f,14,f,As,75,f,33,b,5.112969
194,none,Pd,104,b,46,b,Si,30,b,14,b,Ge,74,b,32,b,8.056500
195,right,Pd,104,b,46,b,P,31,f,15,b,Ge,73,f,32,f,5.996026
196,right,Pd,104,b,46,b,S,33,f,16,f,Ga,71,f,31,b,6.761714
197,none,Pd,104,b,46,b,S,34,b,16,b,Zn,70,b,30,b,9.638200
198,right,Pd,104,b,46,b,Cl,37,f,17,b,Zn,67,f,30,f,9.794658
199,none,Pd,104,b,46,b,Ar,40,b,18,b,Ni,64,b,28,b,12.311600
200,right,Pd,104,b,46,b,K,40,b,19,f,Ni,64,b,28,b,10.798809
201,right,Pd,104,b,46,b,Ca,44,b,20,b,Co,60,b,27,f,13.286830
202,none,Pd,104,b,46,b,Ca,46,b,20,b,Fe,58,b,26,b,15.461900
203,none,Pd,104,b,46,b,Ca,48,b,20,b,Fe,56,b,26,b,15.150800
204,right,Pd,104,b,46,b,Ti,49,f,22,f,Mn,55,f,25,b,16.430622
205,none,Pd,104,b,46,b,Ti,50,b,22,b,Cr,54,b,24,b,18.528300
206,right,Pd,104,b,46,b,V,50,b,23,f,Cr,54,b,24,b,16.316049
207,right,Pd,104,b,46,b,V,51,f,23,b,Cr,53,f,24,f,17.634113
208,right,Pd,105,f,46,f,N,15,f,7,b,Zr,90,b,40,b,0.197475
209,right,Pd,105,f,46,f,O,16,b,8,b,Y,89,f,39,b,4.000765
210,right,Pd,105,f,46,f,Ne,20,b,10,b,Rb,85,f,37,b,0.454567
211,right,Pd,105,f,46,f,Na,23,f,11,b,Kr,82,b,36,b,1.289186
212,right,Pd,105,f,46,f,Mg,24,b,12,b,Br,81,f,35,b,3.028285
213,none,Pd,105,f,46,f,Mg,25,f,12,f,Se,80,b,34,b,2.131300
214,right,Pd,105,f,46,f,Mg,26,b,12,b,Br,79,f,35,b,3.447458
215,right,Pd,105,f,46,f,Al,27,f,13,b,Se,78,b,34,b,5.362610
216,none,Pd,105,f,46,f,Si,29,f,14,f,Ge,76,b,32,b,6.323900
217,right,Pd,105,f,46,f,Si,30,b,14,b,As,75,f,33,b,8.661962
218,right,Pd,105,f,46,f,P,31,f,15,b,Ge,74,b,32,b,9.060641
219,right,Pd,105,f,46,f,S,34,b,16,b,Ga,71,f,31,b,11.117380
220,right,Pd,105,f,46,f,Cl,35,f,17,b,Zn,70,b,30,b,9.722002
221,right,Pd,105,f,46,f,Cl,37,f,17,b,Zn,68,b,30,b,12.928205
222,right,Pd,105,f,46,f,Ar,40,b,18,b,Cu,65,f,29,b,13.478718
223,right,Pd,105,f,46,f,K,41,f,19,b,Ni,64,b,28,b,13.828959
224,right,Pd,105,f,46,f,Ca,46,b,20,b,Co,59,f,27,b,16.544265
225,none,Pd,105,f,46,f,Ca,48,b,20,b,Fe,57,f,26,f,15.726400
226,right,Pd,105,f,46,f,Ti,50,b,22,b,Mn,55,f,25,b,20.302843
227,right,Pd,105,f,46,f,V,51,f,23,b,Cr,54,b,24,b,20.290734
228,none,Pd,106,b,46,b,O,16,b,8,b,Sr,90,b,38,b,0.889600
229,none,Pd,106,b,46,b,Ne,20,b,10,b,Kr,86,b,36,b,0.131300
230,none,Pd,106,b,46,b,Ne,22,b,10,b,Kr,84,b,36,b,0.289700
231,right,Pd,106,b,46,b,Mg,25,f,12,f,Br,81,f,35,b,0.946396
232,none,Pd,106,b,46,b,Mg,26,b,12,b,Se,80,b,34,b,3.816300
233,none,Pd,106,b,46,b,Si,30,b,14,b,Ge,76,b,32,b,7.525500
234,right,Pd,106,b,46,b,Ca,46,b,20,b,Co,60,b,27,f,14.629113
235,none,Pd,106,b,46,b,Ca,48,b,20,b,Fe,58,b,26,b,16.361700
236,right,Pd,108,b,46,b,Ne,21,f,10,f,Rb,87,f,37,b,0.829959
237,none,Pd,108,b,46,b,Ne,22,b,10,b,Kr,86,b,36,b,1.786600
238,right,Pd,108,b,46,b,Ca,48,b,20,b,Co,60,b,27,f,16.534950
239,none,Ag,107,f,47,b,N,15,f,7,b,Zr,92,b,40,b,0.253400
240,right,Ag,107,f,47,b,O,16,b,8,b,Zr,91,f,40,f,4.475827
241,right,Ag,107,f,47,b,O,17,f,8,f,Zr,90,b,40,b,1.412143
242,none,Ag,107,f,47,b,O,18,b,8,b,Y,89,f,39,b,0.354000
243,none,Ag,107,f,47,b,F,19,f,9,b,Sr,88,b,38,b,0.889600
244,none,Ag,107,f,47,b,Ne,20,b,10,b,Rb,87,f,37,b,3.118600
245,right,Ag,107,f,47,b,Ne,20,b,10,b,Sr,87,f,38,f,3.388774
246,left,Ag,107,f,47,b,Ne,21,f,10,f,Kr,86,b,36,b,0.469475
247,right,Ag,107,f,47,b,Ne,21,f,10,f,Sr,86,b,38,b,1.733509
248,none,Ag,107,f,47,b,Ne,22,b,10,b,Rb,85,f,37,b,1.746600
249,none,Ag,107,f,47,b,Na,23,f,11,b,Kr,84,b,36,b,3.440000
250,right,Ag,107,f,47,b,Mg,24,b,12,b,Kr,83,f,36,f,5.397075
251,right,Ag,107,f,47,b,Mg,25,f,12,f,Kr,82,b,36,b,5.260145
252,none,Ag,107,f,47,b,Mg,26,b,12,b,Br,81,f,35,b,5.621600
253,none,Ag,107,f,47,b,Al,27,f,13,b,Se,80,b,34,b,6.448700
254,right,Ag,107,f,47,b,Si,29,f,14,f,Se,78,b,34,b,10.368459
255,right,Ag,107,f,47,b,Si,30,b,14,b,Se,77,f,34,f,10.502594
256,none,Ag,107,f,47,b,P,31,f,15,b,Ge,76,b,32,b,9.172400
257,right,Ag,107,f,47,b,S,33,f,16,f,Ge,74,b,32,b,11.512334
258,right,Ag,107,f,47,b,S,34,b,16,b,Ge,73,f,32,f,12.803384
259,none,Ag,107,f,47,b,Cl,37,f,17,b,Zn,70,b,30,b,12.785700
260,right,Ag,107,f,47,b,Ar,40,b,18,b,Zn,67,f,30,f,14.379472
261,right,Ag,107,f,47,b,Ca,43,f,20,f,Ni,64,b,28,b,16.982067
262,right,Ag,107,f,47,b,Ca,46,b,20,b,Ni,61,f,28,f,18.845987
263,none,Ag,107,f,47,b,Ca,48,b,20,b,Co,59,f,27,b,18.086800
264,right,Ag,107,f,47,b,Ti,49,f,22,f,Fe,58,b,26,b,22.198434
265,right,Ag,107,f,47,b,Ti,50,b,22,b,Fe,57,f,26,f,23.088011
266,right,Ag,107,f,47,b,Cr,53,f,24,f,Cr,54,b,24,b,23.697208
267,right,Ag,109,f,47,b,O,17,f,8,f,Zr,92,b,40,b,0.909136
268,right,Ag,109,f,47,b,O,18,b,8,b,Zr,91,f,40,f,0.270131
269,right,Ag,109,f,47,b,Ne,21,f,10,f,Sr,88,b,38,b,4.881959
270,none,Ag,109,f,47,b,Ne,22,b,10,b,Rb,87,f,37,b,3.851700
271,right,Ag,109,f,47,b,Ne,22,b,10,b,Sr,87,f,38,f,4.121859
272,none,Ag,109,f,47,b,Na,23,f,11,b,Kr,86,b,36,b,4.014700
273,right,Ag,109,f,47,b,Mg,25,f,12,f,Kr,84,b,36,b,6.852069
274,right,Ag,109,f,47,b,Mg,26,b,12,b,Kr,83,f,36,f,7.431458
275,right,Ag,109,f,47,b,Si,29,f,14,f,Se,80,b,34,b,10.895684
276,right,Ag,109,f,47,b,S,33,f,16,f,Ge,76,b,32,b,11.065216
277,right,Ag,109,f,47,b,Ca,48,b,20,b,Ni,61,f,28,f,19.829644
278,none,Cd,106,b,48,b,C,12,b,6,b,Mo,94,b,42,b,1.127100
279,left,Cd,106,b,48,b,N,15,f,7,b,Zr,91,f,40,f,0.551447
280,none,Cd,106,b,48,b,O,16,b,8,b,Zr,90,b,40,b,6.255000
281,left,Cd,106,b,48,b,O,17,f,8,f,Y,89,f,39,b,1.291053
282,none,Cd,106,b,48,b,Ne,20,b,10,b,Sr,86,b,38,b,3.957000
283,left,Cd,106,b,48,b,Ne,21,f,10,f,Rb,85,f,37,b,0.364216
284,none,Cd,106,b,48,b,Ne,22,b,10,b,Sr,84,b,38,b,1.107500
285,left,Cd,106,b,48,b,Na,23,f,11,b,Kr,83,f,36,f,1.905839
286,none,Cd,106,b,48,b,Mg,24,b,12,b,Kr,82,b,36,b,6.913500
287,left,Cd,106,b,48,b,Mg,25,f,12,f,Br,81,f,35,b,3.508009
288,none,Cd,106,b,48,b,Mg,26,b,12,b,Kr,80,b,36,b,6.498100
289,none,Cd,106,b,48,b,Al,27,f,13,b,Br,79,f,35,b,5.651400
290,none,Cd,106,b,48,b,Si,28,b,14,b,Se,78,b,34,b,10.875200
291,none,Cd,106,b,48,b,Si,29,f,14,f,Se,77,f,34,f,8.872500
292,none,Cd,106,b,48,b,Si,30,b,14,b,Se,76,b,34,b,12.072200
293,none,Cd,106,b,48,b,P,31,f,15,b,As,75,f,33,b,9.880400
294,none,Cd,106,b,48,b,S,32,b,16,b,Ge,74,b,32,b,11.854200
295,none,Cd,106,b,48,b,S,33,f,16,f,Ge,73,f,32,f,10.366600
296,none,Cd,106,b,48,b,S,34,b,16,b,Ge,72,b,32,b,14.906700
297,none,Cd,106,b,48,b,Cl,35,f,17,b,Ga,71,f,31,b,11.415500
298,none,Cd,106,b,48,b,Cl,37,f,17,b,Ga,69,f,31,b,13.387400
299,none,Cd,106,b,48,b,Ar,36,b,18,b,Zn,70,b,30,b,12.159700
300,none,Cd,106,b,48,b,Ar,38,b,18,b,Zn,68,b,30,b,17.102200
301,none,Cd,106,b,48,b,Ar,40,b,18,b,Zn,66,b,30,b,16.317900
302,right,Cd,106,b,48,b,K,39,f,19,b,Zn,67,f,30,f,14.053449
303,right,Cd,106,b,48,b,K,40,b,19,f,Zn,66,b,30,b,14.805165
304,none,Cd,106,b,48,b,K,41,f,19,b,Cu,65,f,29,b,15.210400
305,none,Cd,106,b,48,b,Ca,42,b,20,b,Ni,64,b,28,b,18.036500
306,right,Cd,106,b,48,b,Ca,43,f,20,f,Cu,63,f,29,b,16.371007
307,none,Cd,106,b,48,b,Ca,44,b,20,b,Ni,62,b,28,b,20.600000
308,left,Cd,106,b,48,b,Ca,46,b,20,b,Co,60,b,27,f,17.190726
309,none,Cd,106,b,48,b,Ca,46,b,20,b,Ni,60,b,28,b,20.006600
310,none,Cd,106,b,48,b,Ca,48,b,20,b,Ni,58,b,28,b,16.995100
311,right,Cd,106,b,48,b,Sc,45,f,21,b,Ni,61,f,28,f,17.681619
