id,A,Z,nBorF,aBorF,E,AMU,BE,BEN,SUS,LHL,RDM,DEMeV,pcaNCrust,ppmNCrust,ppmNSolar,SP,MD,EQ,RCPT,Inova_MHz,MagGR
283,205,81,f,b,Tl,204.97442723700,1615.02470475210,7.87816929147,SPN,50.0000,null,0.0000,70.5000,0.59925,null,1/2+,1.6320000000,null,null,null,15.69218600
284,204,82,b,b,Pb,203.97304342000,1607.46030207460,7.87970736311,SPN,50.0000,null,0.0000,1.4800,0.2072,null,null,null,null,null,null,null
285,206,82,b,b,Pb,205.97446512400,1622.27816677790,7.87513673193,SPN,50.0000,null,0.0000,23.6000,3.304,null,null,null,null,null,null,null
286,207,82,f,f,Pb,206.97589673500,1629.01571620510,7.86964114109,SPN,50.0000,null,0.0000,22.6000,3.164,null,1/2-,0.5906000000,null,11.8000,83.432,5.57670000
287,208,82,b,b,Pb,207.97665191800,1636.38335448150,7.86722766578,SPN,50.0000,null,0.0000,52.3000,7.322,null,null,null,null,null,null,null
288,209,83,f,b,Bi,208.98039851900,1640.18217043150,7.84776158101,UPN,19.2788,A,3.1370,100.0000,0.0085,null,9/2-,4.0920000000,-0.5160000000,777.0000,64.277,4.37470000
289,232,90,b,b,Th,232.03805368900,1766.63537252370,7.61480764019,UPN,10.1480,A or SF,4.0830,100.0000,9.6,null,null,null,null,null,null,null
290,235,92,f,f,U,235.04392819000,1783.81190219450,7.59068894551,UPN,8.8476,A or SF,4.6790,0.7200,0.01944,null,7/2-,-0.3800000000,4.9360000000,null,null,-0.52000000
291,238,92,b,b,U,238.05078699600,1801.63622415550,7.56990010149,UPN,9.6504,A or SF or 2 B-,4.2700,99.2745,2.6804115,null,null,null,null,null,null,null
292,239,94,f,f,Pu,239.05216166900,1806.86214418710,7.56009265350,SYN,4.3822,"SF, A, G, B-",5.1443,null,null,null,1/2+,0.2020000000,null,null,null,1.94000000
293,0,0,b,b,nu,0.00000000000,0.00000000000,0.00000000000,SPN,50.0000,null,0.0000,0.0000,0,0,null,null,null,null,null,null
294,10,4,b,b,Be,10.01353469500,64.97404427736,6.49740442774,UPN,6.1790,B-,0.2026,null,null,null,null,null,null,null,null,null
295,26,13,b,f,Al,25.98689186300,211.88808201138,8.14954161582,UPN,5.8555,EC,0.5433,null,null,null,5+,2.8030000000,0.2600000000,null,null,null
296,36,17,b,f,Cl,35.96830682200,306.78147836813,8.52170773245,UPN,5.4786,EC,0.0502,null,null,null,2+,1.2849000000,-0.1780000000,null,null,null
297,41,20,f,f,Ca,40.96227792100,350.40580006536,8.54648292842,UPN,5.0128,EC,0.0030,null,null,null,7/2-,-1.5944300000,-0.6650000000,null,null,null
298,53,25,f,b,Mn,52.94128774200,462.89940935380,8.73395111988,UPN,6.5682,EC,0.0005,null,null,null,7/2-,5.0330000000,0.1700000000,null,null,null
299,59,28,f,f,Ni,58.93434557100,515.44552384267,8.73636481089,UPN,4.8808,EC,0.0008,null,null,null,null,null,null,null,null,null
300,60,26,b,b,Fe,59.93407041100,525.33758760513,8.75562646009,UPN,6.1761,B-,0.0511,null,null,null,null,null,null,null,null,null
301,79,34,f,f,Se,78.91849925100,686.93401990304,8.69536734054,UPN,6.0414,B-,0.0558,null,null,null,7/2+,-1.0180000000,0.8000000000,null,null,null
302,81,36,f,f,Kr,80.91658971400,703.29024990152,8.68259567780,UPN,5.3598,EC,0.0014,null,null,null,7/2+,-0.9070000000,0.6440000000,null,null,null
303,93,40,f,f,Zr,92.90647064600,806.43981430394,8.67139585273,UPN,6.1847,B-,0.0191,null,null,null,null,null,null,null,null,null
304,97,43,f,b,Tc,96.90636072300,836.47955457210,8.62350056260,UPN,6.4150,EC,0.0023,null,null,null,null,null,null,null,null,null
305,98,43,b,f,Tc,97.90721120500,843.75842236994,8.60977982010,UPN,6.6232,B-,0.1180,null,null,null,null,null,null,null,null,null
306,99,43,f,b,Tc,98.90624967800,852.72516628365,8.61338551802,UPN,5.3245,B-,0.0846,null,null,null,9/2+,5.6780000000,-0.1290000000,2134.0000,90.033,6.05030000
307,107,46,f,f,Pd,106.90512806400,915.99163883213,8.56066952180,UPN,6.8129,B-,0.0093,null,null,null,null,null,null,null,null,null
308,126,50,b,b,Sn,125.90765883600,1063.85555768560,8.44329807687,UPN,5.0000,B-,0.0700,null,null,null,null,null,null,null,null,null
309,129,53,f,b,I,128.90498368700,1088.21370447540,8.43576515097,UPN,7.1959,B-,0.0409,null,null,null,7/2+,2.6165000000,-0.4880000000,null,null,3.58660000
310,135,55,f,b,Cs,134.90597723400,1134.15007602450,8.40111167426,UPN,6.3617,B-,0.0759,null,null,null,7/2+,2.7283000000,0.0480000000,null,null,null
311,137,57,f,b,La,136.90645061800,1148.28662861420,8.38165422346,UPN,4.7782,EC,0.0037,null,null,null,7/2+,2.6960000000,0.2100000000,null,null,null
312,146,62,b,b,Sm,145.91304688100,1210.87036261170,8.29363262063,UPN,8.0128,A,2.4600,null,null,null,null,null,null,null,null,null
313,182,72,b,b,Hf,181.95056381600,1458.65934676540,8.01461179541,UPN,6.9542,B-,0.0300,null,null,null,null,null,null,null,null,null
314,186,75,b,f,Re,185.95498941900,1484.47427026490,7.98104446379,UPN,5.3010,IT,0.0067,null,null,null,null,null,null,null,null,null
315,210,83,b,f,Bi,209.98412015600,1644.78657361610,7.83231701722,UPN,6.4829,A,4.4200,null,null,null,9-,2.7200000000,0.6600000000,null,null,null
316,230,90,b,b,Th,230.03313235800,1755.07739054050,7.63077126322,UPN,4.8773,A,4.4384,null,null,null,null,null,null,null,null,null
317,231,91,f,b,Pa,231.03588257500,1759.80433254050,7.61820057377,UPN,4.5153,A,4.5990,100.0000,null,null,3/2-,1.9900000000,-1.7200000000,null,null,6.42000000
318,233,92,f,f,U,233.03963436700,1771.66940006510,7.60373133075,UPN,5.2019,A,4.5093,null,null,null,5/2+,-0.5900000000,3.6630000000,null,null,1.33000000
319,234,92,b,b,U,234.04095037000,1778.51463768930,7.60048990466,UPN,5.3904,A,4.6035,null,null,null,null,null,null,null,null,null
320,236,92,b,b,U,236.04556620100,1790.35719119140,7.58625928471,UPN,7.3692,A,4.3320,null,null,null,null,null,null,null,null,null
321,236,93,b,f,Np,236.04656839200,1788.64132254370,7.57898865485,SYN,5.1875,"EC, B-, A",0.0460,null,null,null,6-,null,null,null,null,null
322,237,93,f,b,Np,237.04817171000,1795.21892787350,7.57476340875,SYN,6.3304,A,4.3860,null,null,null,5/2+,3.1400000000,3.8660000000,null,null,6.02000000
323,242,94,b,b,Pu,242.05874104500,1824.94675360960,7.54110228764,SYN,5.5721,A,4.7546,null,null,null,null,null,null,null,null,null
324,244,94,b,b,Pu,244.06420441500,1835.99982933570,7.52458946449,SYN,7.9031,A,0.0099,null,null,null,null,null,null,null,null,null
