id,A,Z,nBorF,aBorF,E,AMU,BE,BEN,SUS,LHL,RDM,DEMeV,pcaNCrust,ppmNCrust,ppmNSolar,SP,MD,EQ,RCPT,Inova_MHz,MagGR
86,73,32,f,f,Ge,72.92345895600,635.45222784963,8.70482503904,SPN,50.0000,null,0.0000,7.7600,0.1164,null,9/2+,-0.8782400000,-0.1960000000,null,null,-0.93603060
87,74,32,b,b,Ge,73.92117776200,645.64823409601,8.72497613643,SPN,50.0000,null,0.0000,36.5400,0.5481,null,null,null,null,null,null,null
88,76,32,b,b,Ge,75.92140272600,661.58085532802,8.70501125432,UPN,21.2553,2 B-,2.0390,7.6700,0.11505,null,null,null,null,null,null,null
89,75,33,f,b,As,74.92159456200,652.54874080940,8.70064987746,SPN,50.0000,null,0.0000,100.0000,1.8,null,3/2-,1.4383000000,0.3140000000,143.0000,68.491,4.59615000
90,74,34,b,b,Se,73.92247593500,642.87432648253,8.68749089841,SPN,50.0000,null,0.0000,0.8700,0.000435,null,null,null,null,null,null,null
91,76,34,b,b,Se,75.91921370400,662.05525009704,8.71125329075,SPN,50.0000,null,0.0000,9.0200,0.00451,null,null,null,null,null,null,null
92,77,34,f,f,Se,76.91991415000,669.47387557871,8.69446591661,SPN,50.0000,null,0.0000,17.5800,0.00879,null,1/2-,0.5335600000,null,2.9800,76.286,5.12538800
93,78,34,b,b,Se,77.91730924300,679.97141865028,8.71758229039,SPN,50.0000,null,0.0000,23.5200,0.01176,null,null,null,null,null,null,null
94,80,34,b,b,Se,79.91652178500,696.84710523847,8.71058881548,SPN,50.0000,null,0.0000,49.8200,0.02491,null,null,null,null,null,null,null
95,82,34,b,b,Se,81.91669953700,712.82370418095,8.69297200221,UPN,20.0414,2 B-,2.9950,8.8200,0.00441,null,null,null,null,null,null,null
96,79,35,f,b,Br,78.91833760100,686.30226255204,8.68737041205,SPN,50.0000,null,0.0000,50.5400,1.21296,null,3/2-,2.1046000000,0.3130000000,226.0000,100.218,6.72561900
97,81,35,f,b,Br,80.91628820600,704.35343630503,8.69572143586,SPN,50.0000,null,0.0000,49.4600,1.18704,null,3/2-,2.2686000000,0.2620000000,277.0000,108.028,7.24977900
98,78,36,b,b,Kr,77.92036634100,675.55908236613,8.66101387649,UPN,24.9368,KK,2.8460,0.3500,null,null,null,null,null,null,null,null
99,80,36,b,b,Kr,79.91637804800,695.41632861948,8.69270410774,SPN,50.0000,null,0.0000,2.2700,null,null,null,null,null,null,null,null
100,82,36,b,b,Kr,81.91348115520,714.25694177087,8.71045050940,SPN,50.0000,null,0.0000,11.5600,null,null,null,null,null,null,null,null
101,83,36,f,f,Kr,82.91412651800,721.72687694122,8.69550454146,SPN,50.0000,null,0.0000,11.5500,null,null,9/2+,-0.9706690000,0.2530000000,null,null,-1.03309700
102,84,36,b,b,Kr,83.91149772863,732.24666630512,8.71722221792,SPN,50.0000,null,0.0000,56.9000,null,null,null,null,null,null,null,null
103,86,36,b,b,Kr,85.91061062627,749.21517104999,8.71180431453,SPN,50.0000,null,0.0000,17.3700,null,null,null,null,null,null,null,null
104,85,37,f,b,Rb,84.91178973760,739.26341515584,8.69721664889,SPN,50.0000,null,0.0000,72.5100,65.259,null,5/2-,1.3530600000,0.2760000000,null,null,2.59270590
105,87,37,f,b,Rb,86.90918053100,757.83605024208,8.71075919818,UPN,10.6965,B-,0.2830,27.8500,25.065,null,3/2-,2.7512900000,0.1335000000,277.0000,130.885,8.78640300
106,84,38,b,b,Sr,83.91341912000,728.89223431142,8.67728850371,SPN,50.0000,null,0.0000,0.5600,2.072,null,null,null,null,null,null,null
107,86,38,b,b,Sr,85.90926072631,748.90792839362,8.70823172551,SPN,50.0000,null,0.0000,9.8600,36.482,null,null,null,null,null,null,null
108,87,38,f,f,Sr,86.90887749615,757.33599207773,8.70501140319,SPN,50.0000,null,0.0000,7.0200,25.974,null,9/2+,-1.0931600000,0.3050000000,null,null,-1.16393800
109,88,38,b,b,Sr,87.90561225561,768.44863210007,8.73237081932,SPN,50.0000,null,0.0000,82.5600,305.472,null,null,null,null,null,null,null
110,90,38,b,b,Sr,89.90773088500,782.61731475162,8.69574794168,UPN,1.4592,B-,0.5460,0.0000,0,null,null,null,null,null,null,null
111,89,39,f,b,Y,88.90584120500,775.52412059225,8.71375416396,SPN,50.0000,null,0.0000,100.0000,33,null,1/2-,-0.1372980000,null,null,null,-1.31627900
112,90,40,b,b,Zr,89.90469875800,783.87705705078,8.70974507834,SPN,50.0000,null,0.0000,51.4600,84.909,null,null,null,null,null,null,null
113,91,40,f,f,Zr,90.90564022300,791.07117469965,8.69308983186,SPN,50.0000,null,0.0000,11.2300,18.5295,null,5/2+,-1.3022000000,-0.1760000000,null,null,-2.49743000
114,92,40,b,b,Zr,91.90503532200,799.70572351514,8.69245351647,SPN,50.0000,null,0.0000,17.1100,28.2315,null,null,null,null,null,null,null
115,94,40,b,b,Zr,93.90631252400,814.65819101258,8.66657650013,SPN,50.0000,null,0.0000,17.4000,28.71,null,null,null,null,null,null,null
116,96,40,b,b,Zr,95.90827762100,828.96988821546,8.63510300224,UPN,19.3010,2 B-,3.4000,2.8000,4.62,null,null,null,null,null,null,null
117,93,41,f,b,Nb,92.90637316100,805.74828761906,8.66396008193,SPN,50.0000,null,0.0000,100.0000,20,null,9/2+,6.1630000000,-0.3200000000,2740.0000,97.904,6.56740000
118,92,42,b,b,Mo,91.90680715500,796.49060429564,8.65750656843,SPN,50.0000,null,0.0000,15.8400,0.19008,null,null,null,null,null,null,null
119,94,42,b,b,Mo,93.90508359200,814.23826738693,8.66210922752,SPN,50.0000,null,0.0000,9.0600,0.10872,null,null,null,null,null,null,null
120,95,42,f,f,Mo,94.90583744200,821.60714734519,8.64849628784,SPN,50.0000,null,0.0000,15.7200,0.18864,null,5/2+,-0.9132000000,-0.0220000000,null,null,-1.75140000
121,96,42,b,b,Mo,95.90467477400,830.76125296064,8.65376305167,SPN,50.0000,null,0.0000,16.3300,0.19596,null,null,null,null,null,null,null
122,97,42,f,f,Mo,96.90601690300,837.58215436386,8.63486757076,SPN,50.0000,null,0.0000,9.4600,0.11352,null,5/2+,-0.9324000000,0.2550000000,null,null,-1.78840000
123,98,42,b,b,Mo,97.90540360800,846.22452214280,8.63494410350,SPN,50.0000,null,0.0000,23.7800,0.28536,null,null,null,null,null,null,null
124,100,42,b,b,Mo,99.90746797600,860.44374897168,8.60443748972,UPN,18.8923,2 B-,3.0350,9.1300,0.10956,null,null,null,null,null,null,null
125,96,44,b,b,Ru,95.90758891400,826.48208124345,8.60918834629,SPN,50.0000,null,0.0000,5.5100,0.0000551,null,null,null,null,null,null,null
126,98,44,b,b,Ru,97.90528671300,844.76874235291,8.62008920768,SPN,50.0000,null,0.0000,1.8700,0.0000187,null,null,null,null,null,null,null
127,99,44,f,f,Ru,98.90593027800,852.24035216376,8.60848840569,SPN,50.0000,null,0.0000,12.7200,0.0001272,null,5/2+,-0.6410000000,0.0790000000,null,null,-1.22800000
128,100,44,b,b,Ru,99.90421045200,861.91344729911,8.61913447299,SPN,50.0000,null,0.0000,12.6200,0.0001262,null,null,null,null,null,null,null
129,101,44,f,f,Ru,100.90557307500,868.71525865745,8.60114117483,SPN,50.0000,null,0.0000,17.0700,0.0001707,null,5/2+,-0.7180000000,0.4600000000,null,null,-1.37200000
130,102,44,b,b,Ru,101.90434030000,877.93466854616,8.60720263281,SPN,50.0000,null,0.0000,31.6100,0.0003161,null,null,null,null,null,null,null
131,104,44,b,b,Ru,103.90542536000,893.06611522785,8.58717418488,SPN,50.0000,null,0.0000,18.5700,0.0001857,null,null,null,null,null,null,null
132,103,45,f,b,Rh,102.90549406800,884.14869374355,8.58396790042,SPN,50.0000,null,0.0000,100.0000,0.001,null,1/2-,-0.0882900000,null,null,null,-0.84677000
133,102,46,b,b,Pd,101.90563205800,875.16673646882,8.58006604381,SPN,50.0000,null,0.0000,0.9600,0.000144,null,null,null,null,null,null,null
134,104,46,b,b,Pd,103.90403040100,892.80084481188,8.58462350781,SPN,50.0000,null,0.0000,10.9700,0.0016455,null,null,null,null,null,null,null
135,105,46,f,f,Pd,104.90507948700,899.89471410910,8.57042584866,SPN,50.0000,null,0.0000,22.2300,0.0033345,null,5/2+,-0.6420000000,0.6600000000,null,null,-1.23000000
136,106,46,b,b,Pd,105.90348029300,909.45544121998,8.57976831340,SPN,50.0000,null,0.0000,27.3300,0.0040995,null,null,null,null,null,null,null
137,108,46,b,b,Pd,107.90389180500,925.21429404707,8.56679901895,SPN,50.0000,null,0.0000,26.7100,0.0040065,null,null,null,null,null,null,null
138,110,46,b,b,Pd,109.90517286800,940.16316504488,8.54693786404,SPN,50.0000,null,0.0000,11.8100,0.0017715,null,null,null,null,null,null,null
139,107,47,f,b,Ag,106.90509153100,915.24333570460,8.55367603462,SPN,50.0000,null,0.0000,51.8200,0.038865,null,1/2-,-0.1135200000,null,null,null,-1.08891800
140,109,47,f,b,Ag,108.90475577300,931.69826630231,8.54769051653,SPN,50.0000,null,0.0000,48.1800,0.036135,null,1/2-,-0.1305100000,null,null,null,-1.25190000
141,106,48,b,b,Cd,105.90645979700,905.11538330717,8.53882437082,SPN,50.0000,null,0.0000,1.2200,0.00183,null,null,null,null,null,null,null
142,108,48,b,b,Cd,107.90418358700,923.37783394741,8.54979475877,SPN,50.0000,null,0.0000,0.8800,0.00132,null,null,null,null,null,null,null
143,110,48,b,b,Cd,109.90300746000,940.61556350674,8.55105057733,SPN,50.0000,null,0.0000,12.3900,0.018585,null,null,null,null,null,null,null
144,111,48,f,f,Cd,110.90418376600,947.59092809483,8.53685520806,SPN,50.0000,null,0.0000,12.7500,0.019125,null,1/2+,-0.5940000000,null,6.9300,84.803,-5.69831500
145,112,48,b,b,Cd,111.90276388300,956.98462802527,8.54450560737,SPN,50.0000,null,0.0000,24.0700,0.036105,null,null,null,null,null,null,null
146,113,48,f,f,Cd,112.90440809700,963.52413896273,8.52676229171,UPN,15.8865,B-,0.3210,12.2600,0.01839,null,1/2+,-0.6213000000,null,7.6000,88.712,-5.96091700
147,114,48,b,b,Cd,113.90336499000,972.56687418417,8.53128837004,SPN,50.0000,null,0.0000,28.8600,0.04329,null,null,null,null,null,null,null
148,116,48,b,b,Cd,115.90476323000,987.40659547047,8.51212582302,UPN,19.4916,2 B-,2.8090,7.5800,0.01137,null,null,null,null,null,null,null
149,113,49,f,b,In,112.90406044800,963.06563862631,8.52270476660,SPN,50.0000,null,0.0000,4.2800,0.0107,null,9/2+,5.5208000000,0.7590000000,83.8000,87.463,5.88450000
150,115,49,f,b,In,114.90387877300,979.37704178262,8.51632210246,UPN,14.6434,B-,0.4990,95.7200,0.2393,null,9/2+,5.5326000000,0.7700000000,1890.0000,87.650,5.89720000
151,112,50,b,b,Sn,111.90482487700,953.50015697279,8.51339425869,SPN,50.0000,null,0.0000,0.9600,0.02208,null,null,null,null,null,null,null
152,114,50,b,b,Sn,113.90278013200,971.54699927711,8.52234209892,SPN,50.0000,null,0.0000,0.6600,0.01518,null,null,null,null,null,null,null
153,115,50,f,f,Sn,114.90334469700,979.09219714031,8.51384519252,SPN,50.0000,null,0.0000,0.3500,0.00805,null,1/2+,-0.9174000000,null,0.6930,136.828,-8.80130000
154,116,50,b,b,Sn,115.90174282400,988.65541972453,8.52289154935,SPN,50.0000,null,0.0000,14.3000,0.3289,null,null,null,null,null,null,null
155,117,50,f,f,Sn,116.90295401700,995.59828726979,8.50938707068,SPN,50.0000,null,0.0000,7.6100,0.17503,null,1/2+,-0.9995000000,null,19.5400,142.529,-9.58880000
156,118,50,b,b,Sn,117.90160660900,1004.92447714840,8.51630912838,SPN,50.0000,null,0.0000,24.0300,0.55269,null,null,null,null,null,null,null
157,119,50,f,f,Sn,118.90331121600,1011.40773234860,8.49922464159,SPN,50.0000,null,0.0000,8.5800,0.19734,null,1/2+,-1.0459000000,null,25.2000,149.163,-10.03170000
158,120,50,b,b,Sn,119.90220187300,1020.51216602870,8.50426805024,SPN,50.0000,null,0.0000,32.8500,0.75555,null,null,null,null,null,null,null
159,122,50,b,b,Sn,121.90344400100,1035.49730475840,8.48768282589,SPN,50.0000,null,0.0000,4.9200,0.11316,null,null,null,null,null,null,null
160,124,50,b,b,Sn,123.90527669200,1049.93233740000,8.46719626936,SPN,50.0000,null,0.0000,5.9400,0.13662,null,null,null,null,null,null,null
161,121,51,f,b,Sb,120.90381009300,1026.30287176320,8.48184191540,SPN,50.0000,null,0.0000,57.2500,0.1145,null,5/2+,3.3580000000,-0.5430000000,520.0000,95.722,6.44350000
162,123,51,f,b,Sb,122.90421401600,1042.06879370080,8.47210401383,SPN,50.0000,null,0.0000,42.7500,0.0855,null,7/2+,2.5457000000,-0.6920000000,111.0000,51.836,3.48920000
163,120,52,b,b,Te,119.90405951400,1017.21711714340,8.47680930953,SPN,50.0000,null,0.0000,0.8900,0.0000089,null,null,null,null,null,null,null
164,122,52,b,b,Te,121.90304343400,1034.30576382910,8.47791609696,SPN,50.0000,null,0.0000,2.4600,0.0000246,null,null,null,null,null,null,null
165,123,52,f,f,Te,122.90426974700,1041.23454718010,8.46532152179,SPN,14.7781,null,0.0000,0.8700,0.0000087,null,1/2+,-0.7358000000,null,0.8900,126.199,-7.05910100
166,124,52,b,b,Te,123.90281706400,1050.65880012470,8.47305483972,SPN,50.0000,null,0.0000,4.6100,0.0000461,null,null,null,null,null,null,null
167,125,52,f,f,Te,124.90442990000,1057.22753949130,8.45782031593,SPN,50.0000,null,0.0000,6.9900,0.0000699,null,1/2+,-0.8870000000,null,12.5000,104.679,-8.51084300
168,126,52,b,b,Te,125.90331086600,1066.34100028300,8.46302381177,SPN,50.0000,null,0.0000,18.7100,0.0001871,null,null,null,null,null,null,null
169,128,52,b,b,Te,127.90446131100,1081.41154120770,8.44852766569,UPN,24.3424,2 B-,2.5300,31.7900,0.0003179,null,null,null,null,null,null,null
170,130,52,b,b,Te,129.90622274700,1095.91294747810,8.43009959599,UPN,18.9448,2 B-,0.8680,34.4800,0.0003448,null,null,null,null,null,null,null
171,127,53,f,b,I,126.90447183800,1072.54831499520,8.44526232280,SPN,50.0000,null,0.0000,100.0000,0.45,null,5/2+,2.8087000000,-0.6960000000,530.0000,80.034,5.38957000
172,124,54,b,b,Xe,123.90589158800,1046.23023162030,8.43734057758,UPN,22.2553,KK,2.8640,0.0961,null,null,null,null,null,null,null,null
173,126,54,b,b,Xe,125.90429679400,1063.85794711770,8.44331704062,SPN,50.0000,null,0.0000,0.0900,null,null,null,null,null,null,null,null
174,128,54,b,b,Xe,127.90353099600,1080.71345753860,8.44307388702,SPN,50.0000,null,0.0000,1.9200,null,null,null,null,null,null,null,null
175,129,54,f,f,Xe,128.90478085892,1087.62030427260,8.43116514940,SPN,50.0000,null,0.0000,26.4400,null,null,1/2+,-0.7779610000,null,31.8000,110.632,-7.45210000
176,130,54,b,b,Xe,129.90350934900,1096.87579551980,8.43750611938,SPN,50.0000,null,0.0000,4.0800,null,null,null,null,null,null,null,null
177,131,54,f,f,Xe,130.90508413600,1103.47997731430,8.42351127721,SPN,50.0000,null,0.0000,21.1800,null,null,3/2+,0.6918450000,-0.1140000000,null,null,2.20907700
178,132,54,b,b,Xe,131.90415508697,1112.41646818300,8.42739748623,SPN,50.0000,null,0.0000,26.8900,null,null,null,null,null,null,null,null
179,134,54,b,b,Xe,133.90539303300,1127.40550239410,8.41347389846,SPN,50.0000,null,0.0000,10.4400,null,null,null,null,null,null,null,null
180,136,54,b,b,Xe,135.90721447600,1141.85101248390,8.39596332709,UPN,21.3354,2 B-,2.4620,8.8700,null,null,null,null,null,null,null,null
181,133,55,f,b,Cs,132.90545196100,1118.49719092430,8.40975331522,SPN,50.0000,null,0.0000,100.0000,3,null,7/2+,2.5778000000,-0.0034300000,269.0000,52.465,3.53325600
182,137,55,f,b,Cs,136.90708946400,1149.25621400520,8.38873148909,UPN,1.5092,G or B-,0.6617,0.0000,0,null,7/2+,2.8374000000,0.0480000000,null,null,null
183,130,56,b,b,Ba,129.90632087400,1092.69220909360,8.40532468534,UPN,21.0792,KK,2.6200,0.1010,0.42925,null,null,null,null,null,null,null
184,132,56,b,b,Ba,131.90506109800,1110.00785722240,8.40915043350,SPN,50.0000,null,0.0000,0.0970,0.41225,null,null,null,null,null,null,null
185,134,56,b,b,Ba,133.90450839900,1126.66486713230,8.40794676964,SPN,50.0000,null,0.0000,2.4200,10.285,null,null,null,null,null,null,null
186,135,56,f,f,Ba,134.90568860600,1133.63659796100,8.39730813304,SPN,50.0000,null,0.0000,6.5900,28.0075,null,3/2+,0.8381000000,0.1600000000,null,null,2.67769000
187,136,56,b,b,Ba,135.90457595900,1142.74410929840,8.40253021543,SPN,50.0000,null,0.0000,7.8100,33.1925,null,null,null,null,null,null,null
188,137,56,f,f,Ba,136.90582737500,1149.64950934710,8.39160225801,SPN,50.0000,null,0.0000,11.3200,48.11,null,3/2+,0.9375000000,0.2450000000,4.4100,44.452,2.99287000
189,138,56,b,b,Ba,137.90524722900,1158.26099902040,8.39319564508,SPN,50.0000,null,0.0000,71.6600,304.555,null,null,null,null,null,null,null
190,138,57,b,f,La,137.90711783400,1155.73620765260,8.37490005545,UPN,11.0090,K or B-,1.7370,0.0890,0.03471,null,5+,3.7084000000,0.3900000000,null,null,3.55724000
191,139,57,f,b,La,138.90635880400,1164.51432675820,8.37780091193,SPN,50.0000,null,0.0000,99.9110,38.96529,null,7/2+,2.7791000000,0.2000000000,336.0000,56.502,3.80833300
192,136,58,b,b,Ce,135.90712943800,1138.80089125910,8.37353596514,SPN,50.0000,null,0.0000,0.1930,0.128345,null,null,null,null,null,null,null
193,138,58,b,b,Ce,137.90598874300,1156.00561611110,8.37685229066,SPN,50.0000,null,0.0000,0.2500,0.16625,null,null,null,null,null,null,null
194,140,58,b,b,Ce,139.90544642400,1172.65295710990,8.37609255078,SPN,50.0000,null,0.0000,88.4800,58.8392,null,null,null,null,null,null,null
195,142,58,b,b,Ce,141.90924988400,1185.25222959520,8.34684668729,SPN,50.0000,null,0.0000,11.0700,7.36155,null,null,null,null,null,null,null
196,141,59,f,b,Pr,140.90765840300,1177.88126475700,8.35376783516,SPN,50.0000,null,0.0000,100.0000,9.2,null,5/2+,4.2660000000,-0.0770000000,1700.0000,117.164,8.19070000
197,142,60,b,b,Nd,141.90772889500,1185.10435541010,8.34580531979,SPN,50.0000,null,0.0000,27.1100,11.25065,null,null,null,null,null,null,null
198,143,60,f,f,Nd,142.90981988700,1191.22769517220,8.33026360260,SPN,50.0000,null,0.0000,12.1700,5.05055,null,7/2-,-1.0650000000,-0.6100000000,null,null,-1.45740000
199,144,60,b,b,Nd,143.91009286500,1199.04450467370,8.32669794912,UPN,15.3602,A,1.9050,23.8500,9.89775,null,null,null,null,null,null,null
200,145,60,f,f,Nd,144.91257919900,1204.79958560300,8.30896265933,SPN,50.0000,null,0.0000,8.3000,3.4445,null,7/2-,-0.6560000000,-0.3140000000,null,null,-0.89800000
201,146,60,b,b,Nd,145.91312250300,1212.36458796720,8.30386704087,SPN,50.0000,null,0.0000,17.2200,7.1463,null,null,null,null,null,null,null
202,148,60,b,b,Nd,147.91689909300,1224.98888970530,8.27695195747,SPN,50.0000,null,0.0000,5.7300,2.37795,null,null,null,null,null,null,null
203,150,60,b,b,Nd,149.92090152500,1237.40282090010,8.24935213933,UPN,18.8979,2 B-,3.3670,5.6200,2.3323,null,null,null,null,null,null,null
204,144,62,b,b,Sm,143.91200637300,1195.69741599450,8.30345427774,SPN,50.0000,null,0.0000,3.0900,0.217845,null,null,null,null,null,null,null
205,147,62,f,f,Sm,146.91490406400,1217.21149413240,8.28035030022,UPN,11.0257,A,2.3100,14.9700,1.055385,null,7/2-,-0.8090000000,-0.2600000000,null,null,-1.11500000
206,148,62,b,b,Sm,147.91482901200,1225.35249160680,8.27940872707,UPN,15.8454,A,1.9860,11.2400,0.79242,null,null,null,null,null,null,null
207,149,62,f,f,Sm,148.91719137500,1231.22305082010,8.26324195181,SPN,50.0000,null,0.0000,13.8300,0.975015,null,7/2-,-0.6677000000,-0.0780000000,null,null,-0.91920000
208,150,62,b,b,Sm,149.91728219500,1239.20953946640,8.26139692978,SPN,50.0000,null,0.0000,7.4400,0.52452,null,null,null,null,null,null,null
209,152,62,b,b,Sm,151.91973904000,1253.06317619370,8.24383668548,SPN,50.0000,null,0.0000,76.7200,5.40876,null,null,null,null,null,null,null
210,154,62,b,b,Sm,153.92221616400,1266.89792314750,8.22660989057,SPN,50.0000,null,0.0000,22.7100,1.601055,null,null,null,null,null,null,null
211,151,63,f,b,Eu,150.91985686000,1244.10000715970,8.23907289510,UPN,18.6993,A,1.9644,47.8200,0.9564,null,5/2+,3.4635000000,0.3918000000,480.0000,99.202,6.65100000
212,153,63,f,b,Eu,152.92123704300,1258.95654843920,8.22847417281,SPN,50.0000,null,0.0000,52.1800,1.0436,null,5/2+,1.5294000000,2.2200000000,45.0000,43.806,2.93570000
213,152,64,b,b,Gd,151.91979882200,1251.44282277950,8.23317646565,UPN,14.0414,A,2.2030,0.2000,0.0124,null,null,null,null,null,null,null
214,154,64,b,b,Gd,153.92087339800,1266.58403524770,8.22457165745,SPN,50.0000,null,0.0000,2.1500,0.1333,null,null,null,null,null,null,null
215,155,64,f,f,Gd,154.92262979600,1273.01904742490,8.21302611242,SPN,50.0000,null,0.0000,14.7300,0.91326,null,3/2-,-0.2591000000,1.2700000000,null,null,-0.82120000
216,156,64,b,b,Gd,155.92213056200,1281.55516802860,8.21509723095,SPN,50.0000,null,0.0000,20.4700,1.26914,null,null,null,null,null,null,null
217,157,64,f,f,Gd,156.92396787000,1287.91481299930,8.20327906369,SPN,50.0000,null,0.0000,15.6800,0.97216,null,3/2-,-0.3398000000,1.3600000000,null,null,-1.07700000
218,158,64,b,b,Gd,157.92411164600,1295.85197343160,8.20159476855,SPN,50.0000,null,0.0000,24.8700,1.54194,null,null,null,null,null,null,null
219,160,64,b,b,Gd,159.92706153700,1309.24634060370,8.18278962877,SPN,50.0000,null,0.0000,21.9000,1.3578,null,null,null,null,null,null,null
220,159,65,f,b,Tb,158.92535393300,1301.98354368210,8.18857574643,SPN,50.0000,null,0.0000,100.0000,1.2,null,3/2+,2.0090000000,1.4320000000,330.0000,90.714,6.43100000
221,156,66,b,b,Dy,155.92428403800,1277.98455051720,8.19220865716,SPN,50.0000,null,0.0000,0.0520,0.002704,null,null,null,null,null,null,null
222,158,66,b,b,Dy,157.92441459700,1294.00510947180,8.18990575615,SPN,50.0000,null,0.0000,0.0900,0.00468,null,null,null,null,null,null,null
223,160,66,b,b,Dy,159.92520324400,1309.41266318330,8.18382914490,SPN,50.0000,null,0.0000,2.2900,0.11908,null,null,null,null,null,null,null
224,161,66,f,f,Dy,160.92693908800,1315.86682129500,8.17308584655,SPN,50.0000,null,0.0000,18.8800,0.98176,null,5/2+,-0.4790000000,2.5100000000,null,null,-0.92000000
225,162,66,b,b,Dy,161.92680416800,1324.06358547210,8.17323200909,SPN,50.0000,null,0.0000,25.5300,1.32756,null,null,null,null,null,null,null
226,163,66,f,f,Dy,162.92873687900,1330.33436308890,8.16156050975,SPN,50.0000,null,0.0000,24.9700,1.29844,null,5/2-,0.6710000000,2.6500000000,null,null,1.28900000
227,164,66,b,b,Dy,163.92918047200,1337.99224568460,8.15848930295,SPN,50.0000,null,0.0000,28.1800,1.46536,null,null,null,null,null,null,null
228,165,67,f,b,Ho,164.93032804700,1344.21203962640,8.14673963410,SPN,50.0000,null,0.0000,100.0000,1.3,null,7/2-,4.1600000000,3.5800000000,1000.0000,82.052,5.65400000
229,162,68,b,b,Er,161.92878696000,1320.65195913950,8.15217258728,SPN,50.0000,null,0.0000,0.1360,0.00476,null,null,null,null,null,null,null
230,164,68,b,b,Er,163.92920739200,1336.40250303710,8.14879575023,SPN,50.0000,null,0.0000,1.5600,0.0546,null,null,null,null,null,null,null
231,166,68,b,b,Er,165.93029902300,1351.52782886950,8.14173390885,SPN,50.0000,null,0.0000,33.4100,1.16935,null,null,null,null,null,null,null
232,167,68,f,f,Er,166.93205411900,1357.96405385230,8.13152128055,SPN,50.0000,null,0.0000,22.9400,0.8029,null,7/2+,-0.5623000000,3.5700000000,null,null,-0.77160000
233,168,68,b,b,Er,167.93237619200,1365.73513163950,8.12937578357,SPN,50.0000,null,0.0000,27.0700,0.94745,null,null,null,null,null,null,null
234,170,68,b,b,Er,169.93547067300,1378.99481404590,8.11173420027,SPN,50.0000,null,0.0000,14.8800,0.5208,null,null,null,null,null,null,null
235,169,69,f,b,Tm,168.93421835000,1371.30792545260,8.11424807960,SPN,50.0000,null,0.0000,100.0000,0.52,null,1/2+,-0.2310000000,null,null,null,-2.21000000
236,170,70,b,b,Yb,169.93476724500,1378.08538642200,8.10638462601,SPN,50.0000,null,0.0000,3.0300,0.09696,null,null,null,null,null,null,null
237,171,70,f,f,Yb,170.93633151700,1384.69936287950,8.09765709286,SPN,50.0000,null,0.0000,14.3100,0.45792,null,1/2-,0.4923000000,null,4.0500,70.452,4.72880000
238,172,70,b,b,Yb,171.93638665800,1392.71908631200,8.09720399019,SPN,50.0000,null,0.0000,21.8100,0.69792,null,null,null,null,null,null,null
239,173,70,f,f,Yb,172.93821621500,1399.08595129530,8.08720203061,SPN,50.0000,null,0.0000,16.1300,0.51616,null,5/2-,-0.6780000000,2.8000000000,null,null,-1.30251000
240,174,70,b,b,Yb,173.93886754800,1406.55032525810,8.08362255895,SPN,50.0000,null,0.0000,31.8400,1.01888,null,null,null,null,null,null,null
241,176,70,b,b,Yb,175.94257470800,1419.23930064780,8.06385966277,SPN,50.0000,null,0.0000,12.7300,0.40736,null,null,null,null,null,null,null
242,175,71,f,b,Lu,174.94077730800,1412.06014819130,8.06891513252,SPN,50.0000,null,0.0000,97.4100,0.48705,null,7/2+,2.2257000000,3.4900000000,156.0000,45.630,3.05470000
243,176,71,b,f,Lu,175.94269180900,1418.34788831990,8.05879482000,UPN,10.5756,B-,1.1930,2.5900,0.01295,null,7-,3.1600000000,4.9200000000,null,null,2.16800000
244,174,72,b,b,Hf,173.94004848000,1403.88562697180,8.06830820099,UPN,15.3015,A,2.4970,0.1800,0.0054,null,null,null,null,null,null,null
245,176,72,b,b,Hf,175.94140990500,1418.75964122200,8.06113432512,SPN,50.0000,null,0.0000,5.2000,0.156,null,null,null,null,null,null,null
