id,neutrino,id_sub,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,E,A,nBorF,Z,aBorF,MeV
1,right,1,nu,0,b,0,b,Rb,87,f,37,b,Sr,87,f,38,f,0.270131
2,right,2,nu,0,b,0,b,Cd,113,f,48,f,In,113,f,49,b,0.307391
3,right,3,nu,0,b,0,b,In,115,f,49,b,Sn,115,f,50,f,0.503005
4,right,4,nu,0,b,0,b,Ta,180,b,73,f,W,180,b,74,b,0.503005
5,left,1,H,1,f,1,b,H,1,f,1,b,D,2,b,1,f,1.441955
6,none,1,H,1,f,1,b,D,2,b,1,f,He,3,f,2,f,5.493000
7,left,2,H,1,f,1,b,He,3,f,2,f,He,4,b,2,b,19.796115
8,left,3,H,1,f,1,b,Li,6,b,3,f,Li,7,f,3,b,6.470160
9,none,102,H,1,f,1,b,Be,9,f,4,f,B,10,b,5,f,6.587500
10,left,4,H,1,f,1,b,B,10,b,5,f,B,11,f,5,b,10.673993
11,none,74,H,1,f,1,b,B,11,f,5,b,C,12,b,6,b,15.956500
12,left,5,H,1,f,1,b,C,12,b,6,b,C,13,f,6,f,4.164712
13,none,128,H,1,f,1,b,C,13,f,6,f,N,14,b,7,f,7.393300
14,left,6,H,1,f,1,b,N,14,b,7,f,N,15,f,7,b,10.208246
15,none,708,H,1,f,1,b,N,15,f,7,b,O,16,b,8,b,12.126200
16,left,7,H,1,f,1,b,O,16,b,8,b,O,17,f,8,f,3.358970
17,left,9,H,1,f,1,b,O,17,f,8,f,O,18,b,8,b,7.264724
18,none,821,H,1,f,1,b,O,18,b,8,b,F,19,f,9,b,7.992200
19,none,373,H,1,f,1,b,F,19,f,9,b,Ne,20,b,10,b,12.843400
20,left,10,H,1,f,1,b,Ne,20,b,10,b,Ne,21,f,10,f,5.978331
21,left,12,H,1,f,1,b,Ne,21,f,10,f,Ne,22,b,10,b,9.584145
22,none,759,H,1,f,1,b,Ne,22,b,10,b,Na,23,f,11,b,8.790500
23,none,725,H,1,f,1,b,Na,23,f,11,b,Mg,24,b,12,b,11.693000
24,left,13,H,1,f,1,b,Mg,24,b,12,b,Mg,25,f,12,f,6.548406
25,left,15,H,1,f,1,b,Mg,25,f,12,f,Mg,26,b,12,b,10.315368
26,none,626,H,1,f,1,b,Mg,26,b,12,b,Al,27,f,13,b,8.272600
27,none,11,H,1,f,1,b,Al,27,f,13,b,Si,28,b,14,b,11.581300
28,left,16,H,1,f,1,b,Si,28,b,14,b,Si,29,f,14,f,7.695075
29,left,18,H,1,f,1,b,Si,29,f,14,f,Si,30,b,14,b,9.831922
30,none,1045,H,1,f,1,b,Si,30,b,14,b,P,31,f,15,b,7.287100
31,none,855,H,1,f,1,b,P,31,f,15,b,S,32,b,16,b,8.862200
32,left,19,H,1,f,1,b,S,32,b,16,b,S,33,f,16,f,7.859949
33,left,21,H,1,f,1,b,S,33,f,16,f,S,34,b,16,b,10.638596
34,none,956,H,1,f,1,b,S,34,b,16,b,Cl,35,f,17,b,6.366800
35,none,254,H,1,f,1,b,Cl,35,f,17,b,Ar,36,b,18,b,8.506400
36,none,255,H,1,f,1,b,Cl,37,f,17,b,Ar,38,b,18,b,10.242700
37,none,24,H,1,f,1,b,Ar,38,b,18,b,K,39,f,19,b,6.367700
38,none,26,H,1,f,1,b,Ar,40,b,18,b,K,41,f,19,b,7.800300
39,left,25,H,1,f,1,b,K,39,f,19,b,K,40,b,19,f,7.015084
40,none,532,H,1,f,1,b,K,39,f,19,b,Ca,40,b,20,b,8.336900
41,left,27,H,1,f,1,b,K,40,b,19,f,K,41,f,19,b,9.313080
42,none,534,H,1,f,1,b,K,41,f,19,b,Ca,42,b,20,b,10.276200
43,left,29,H,1,f,1,b,Ca,42,b,20,b,Ca,43,f,20,f,7.147356
44,left,31,H,1,f,1,b,Ca,43,f,20,f,Ca,44,b,20,b,10.353559
45,none,143,H,1,f,1,b,Ca,44,b,20,b,Sc,45,f,21,b,6.889300
46,right,14,H,1,f,1,b,Ca,46,b,20,b,Ti,47,f,22,f,9.087654
47,right,16,H,1,f,1,b,Ca,48,b,20,b,Ti,49,f,22,f,11.476937
48,none,994,H,1,f,1,b,Sc,45,f,21,b,Ti,46,b,22,b,10.349800
49,left,34,H,1,f,1,b,Ti,46,b,22,b,Ti,47,f,22,f,8.104001
50,left,36,H,1,f,1,b,Ti,47,f,22,f,Ti,48,b,22,b,10.837936
51,left,38,H,1,f,1,b,Ti,48,b,22,b,Ti,49,f,22,f,7.364394
52,left,40,H,1,f,1,b,Ti,49,f,22,f,Ti,50,b,22,b,10.155151
53,none,1187,H,1,f,1,b,Ti,49,f,22,f,V,50,b,23,f,7.942900
54,right,19,H,1,f,1,b,Ti,49,f,22,f,Cr,50,b,24,b,8.980533
55,none,1189,H,1,f,1,b,Ti,50,b,22,b,V,51,f,23,b,8.045300
56,left,41,H,1,f,1,b,V,50,b,23,f,V,51,f,23,b,10.257615
57,none,1248,H,1,f,1,b,V,51,f,23,b,Cr,52,b,24,b,10.515600
58,left,43,H,1,f,1,b,Cr,52,b,24,b,Cr,53,f,24,f,7.161329
59,left,45,H,1,f,1,b,Cr,53,f,24,f,Cr,54,b,24,b,8.939551
60,right,22,H,1,f,1,b,Cr,53,f,24,f,Fe,54,b,26,b,8.248378
61,none,293,H,1,f,1,b,Cr,54,b,24,b,Mn,55,f,25,b,8.057400
62,none,664,H,1,f,1,b,Mn,55,f,25,b,Fe,56,b,26,b,10.197100
63,left,47,H,1,f,1,b,Fe,56,b,26,b,Fe,57,f,26,f,6.858593
64,left,49,H,1,f,1,b,Fe,57,f,26,f,Fe,58,b,26,b,9.265574
65,right,25,H,1,f,1,b,Fe,57,f,26,f,Ni,58,b,28,b,7.337377
66,none,387,H,1,f,1,b,Fe,58,b,26,b,Co,59,f,27,b,7.365300
67,left,50,H,1,f,1,b,Co,59,f,27,b,Co,60,b,27,f,6.715143
68,none,277,H,1,f,1,b,Co,59,f,27,b,Ni,60,b,28,b,9.531000
69,none,284,H,1,f,1,b,Co,60,b,27,f,Ni,61,f,28,f,9.857100
70,left,52,H,1,f,1,b,Ni,60,b,28,b,Ni,61,f,28,f,7.041166
71,left,54,H,1,f,1,b,Ni,61,f,28,f,Ni,62,b,28,b,9.807703
72,none,793,H,1,f,1,b,Ni,62,b,28,b,Cu,63,f,29,b,6.124600
73,none,794,H,1,f,1,b,Ni,64,b,28,b,Cu,65,f,29,b,7.450100
74,none,332,H,1,f,1,b,Cu,63,f,29,b,Zn,64,b,30,b,7.708100
75,none,333,H,1,f,1,b,Cu,65,f,29,b,Zn,66,b,30,b,8.907900
76,left,58,H,1,f,1,b,Zn,66,b,30,b,Zn,67,f,30,f,6.263368
77,left,60,H,1,f,1,b,Zn,67,f,30,f,Zn,68,b,30,b,9.416476
78,none,1322,H,1,f,1,b,Zn,68,b,30,b,Ga,69,f,31,b,6.527900
79,none,1323,H,1,f,1,b,Zn,70,b,30,b,Ga,71,f,31,b,7.762100
80,none,412,H,1,f,1,b,Ga,69,f,31,b,Ge,70,b,32,b,8.504500
81,none,413,H,1,f,1,b,Ga,71,f,31,b,Ge,72,b,32,b,9.858000
82,left,64,H,1,f,1,b,Ge,72,b,32,b,Ge,73,f,32,f,6.098494
83,left,66,H,1,f,1,b,Ge,73,f,32,f,Ge,74,b,32,b,9.347545
84,right,32,H,1,f,1,b,Ge,73,f,32,f,Se,74,b,34,b,8.136599
85,none,442,H,1,f,1,b,Ge,74,b,32,b,As,75,f,33,b,6.888400
86,right,34,H,1,f,1,b,Ge,76,b,32,b,Se,77,f,34,f,8.617250
87,none,61,H,1,f,1,b,As,75,f,33,b,Se,76,b,34,b,9.478900
88,left,69,H,1,f,1,b,Se,76,b,34,b,Se,77,f,34,f,6.632240
89,left,71,H,1,f,1,b,Se,77,f,34,f,Se,78,b,34,b,9.697787
90,right,37,H,1,f,1,b,Se,77,f,34,f,Kr,78,b,36,b,6.884671
91,none,1002,H,1,f,1,b,Se,78,b,34,b,Br,79,f,35,b,6.357400
92,none,1003,H,1,f,1,b,Se,80,b,34,b,Br,81,f,35,b,7.445400
93,none,108,H,1,f,1,b,Br,79,f,35,b,Kr,80,b,36,b,9.119300
94,none,109,H,1,f,1,b,Br,81,f,35,b,Kr,82,b,36,b,9.953900
95,left,76,H,1,f,1,b,Kr,82,b,36,b,Kr,83,f,36,f,6.685335
96,left,78,H,1,f,1,b,Kr,83,f,36,f,Kr,84,b,36,b,9.735978
97,right,41,H,1,f,1,b,Kr,83,f,36,f,Sr,84,b,38,b,7.992217
98,none,556,H,1,f,1,b,Kr,84,b,36,b,Rb,85,f,37,b,7.097100
99,none,557,H,1,f,1,b,Kr,86,b,36,b,Rb,87,f,37,b,8.627500
100,right,43,H,1,f,1,b,Kr,86,b,36,b,Sr,87,f,38,f,8.897630
101,none,901,H,1,f,1,b,Rb,85,f,37,b,Sr,86,b,38,b,9.571100
102,none,903,H,1,f,1,b,Rb,87,f,37,b,Sr,88,b,38,b,10.614400
103,left,82,H,1,f,1,b,Sr,86,b,38,b,Sr,87,f,38,f,7.633596
104,left,84,H,1,f,1,b,Sr,87,f,38,f,Sr,88,b,38,b,10.344244
105,none,1122,H,1,f,1,b,Sr,88,b,38,b,Y,89,f,39,b,7.456600
106,right,47,H,1,f,1,b,Sr,90,b,38,b,Zr,91,f,40,f,9.226447
107,none,1300,H,1,f,1,b,Y,89,f,39,b,Zr,90,b,40,b,8.322900
108,left,86,H,1,f,1,b,Zr,90,b,40,b,Zr,91,f,40,f,6.422654
109,left,88,H,1,f,1,b,Zr,91,f,40,f,Zr,92,b,40,b,7.903729
110,right,50,H,1,f,1,b,Zr,91,f,40,f,Mo,92,b,42,b,6.320185
111,none,1361,H,1,f,1,b,Zr,92,b,40,b,Nb,93,f,41,b,5.956900
112,right,52,H,1,f,1,b,Zr,94,b,40,b,Mo,95,f,42,f,7.680167
113,right,54,H,1,f,1,b,Zr,96,b,40,b,Mo,97,f,42,f,9.571100
114,none,740,H,1,f,1,b,Nb,93,f,41,b,Mo,94,b,42,b,8.481300
115,left,92,H,1,f,1,b,Mo,94,b,42,b,Mo,95,f,42,f,6.376079
116,left,94,H,1,f,1,b,Mo,95,f,42,f,Mo,96,b,42,b,8.378791
117,right,57,H,1,f,1,b,Mo,95,f,42,f,Ru,96,b,44,b,5.537730
118,left,96,H,1,f,1,b,Mo,96,b,42,b,Mo,97,f,42,f,6.171150
119,left,98,H,1,f,1,b,Mo,97,f,42,f,Mo,98,b,42,b,7.512502
120,right,59,H,1,f,1,b,Mo,97,f,42,f,Ru,98,b,44,b,7.521813
121,right,61,H,1,f,1,b,Mo,98,b,42,b,Ru,99,f,44,f,6.757988
122,right,63,H,1,f,1,b,Mo,100,b,42,b,Ru,101,f,44,f,10.502594
123,left,101,H,1,f,1,b,Ru,98,b,44,b,Ru,99,f,44,f,6.748677
124,left,103,H,1,f,1,b,Ru,99,f,44,f,Ru,100,b,44,b,10.139315
125,left,105,H,1,f,1,b,Ru,100,b,44,b,Ru,101,f,44,f,6.264300
126,left,107,H,1,f,1,b,Ru,101,f,44,f,Ru,102,b,44,b,7.661541
127,right,66,H,1,f,1,b,Ru,101,f,44,f,Pd,102,b,46,b,6.525114
128,none,931,H,1,f,1,b,Ru,102,b,44,b,Rh,103,f,45,b,6.282900
129,right,68,H,1,f,1,b,Ru,104,b,44,b,Pd,105,f,46,f,8.117969
130,none,925,H,1,f,1,b,Rh,103,f,45,b,Pd,104,b,46,b,8.444000
131,left,110,H,1,f,1,b,Pd,104,b,46,b,Pd,105,f,46,f,6.282930
132,left,112,H,1,f,1,b,Pd,105,f,46,f,Pd,106,b,46,b,8.630295
133,right,71,H,1,f,1,b,Pd,105,f,46,f,Cd,106,b,48,b,6.068682
134,none,868,H,1,f,1,b,Pd,106,b,46,b,Ag,107,f,47,b,5.640200
135,none,869,H,1,f,1,b,Pd,108,b,46,b,Ag,109,f,47,b,6.562400
136,right,74,H,1,f,1,b,Pd,110,b,46,b,Cd,111,f,48,f,7.279624
137,none,3,H,1,f,1,b,Ag,107,f,47,b,Cd,108,b,48,b,8.192500
138,none,4,H,1,f,1,b,Ag,109,f,47,b,Cd,110,b,48,b,8.900400
139,left,118,H,1,f,1,b,Cd,110,b,48,b,Cd,111,f,48,f,5.854442
140,left,120,H,1,f,1,b,Cd,111,f,48,f,Cd,112,b,48,b,8.844538
141,right,77,H,1,f,1,b,Cd,111,f,48,f,Sn,112,b,50,b,6.888397
142,left,122,H,1,f,1,b,Cd,112,b,48,b,Cd,113,f,48,f,5.640199
143,none,223,H,1,f,1,b,Cd,112,b,48,b,In,113,f,49,b,5.947600
144,left,124,H,1,f,1,b,Cd,113,f,48,f,Cd,114,b,48,b,8.257697
145,right,79,H,1,f,1,b,Cd,113,f,48,f,Sn,114,b,50,b,6.031422
146,none,225,H,1,f,1,b,Cd,114,b,48,b,In,115,f,49,b,6.823200
147,right,81,H,1,f,1,b,Cd,114,b,48,b,Sn,115,f,50,f,7.326199
148,right,83,H,1,f,1,b,Cd,116,b,48,b,Sn,117,f,50,f,9.105353
149,none,518,H,1,f,1,b,In,113,f,49,b,Sn,114,b,50,b,5.724000
150,none,520,H,1,f,1,b,In,115,f,49,b,Sn,116,b,50,b,9.114700
151,left,128,H,1,f,1,b,Sn,114,b,50,b,Sn,115,f,50,f,9.552474
152,left,130,H,1,f,1,b,Sn,115,f,50,f,Sn,116,b,50,b,8.611665
153,left,132,H,1,f,1,b,Sn,116,b,50,b,Sn,117,f,50,f,6.404024
154,left,134,H,1,f,1,b,Sn,117,f,50,f,Sn,118,b,50,b,8.471941
155,left,136,H,1,f,1,b,Sn,118,b,50,b,Sn,119,f,50,f,5.798553
156,left,138,H,1,f,1,b,Sn,119,f,50,f,Sn,120,b,50,b,8.462626
157,right,86,H,1,f,1,b,Sn,119,f,50,f,Te,120,b,52,b,6.245666
158,none,1096,H,1,f,1,b,Sn,120,b,50,b,Sb,121,f,51,b,5.779900
159,none,1097,H,1,f,1,b,Sn,122,b,50,b,Sb,123,f,51,b,6.599600
160,right,88,H,1,f,1,b,Sn,122,b,50,b,Te,123,f,52,f,6.571689
161,right,90,H,1,f,1,b,Sn,124,b,50,b,Te,125,f,52,f,8.052764
162,none,984,H,1,f,1,b,Sb,121,f,51,b,Te,122,b,52,b,7.987600
163,none,986,H,1,f,1,b,Sb,123,f,51,b,Te,124,b,52,b,8.583700
164,left,143,H,1,f,1,b,Te,122,b,52,b,Te,123,f,52,f,6.189780
165,left,145,H,1,f,1,b,Te,123,f,52,f,Te,124,b,52,b,8.611665
166,right,93,H,1,f,1,b,Te,123,f,52,f,Xe,124,b,54,b,5.481841
167,left,147,H,1,f,1,b,Te,124,b,52,b,Te,125,f,52,f,5.742663
168,left,149,H,1,f,1,b,Te,125,f,52,f,Te,126,b,52,b,8.386243
169,right,95,H,1,f,1,b,Te,125,f,52,f,Xe,126,b,54,b,7.522744
170,none,1163,H,1,f,1,b,Te,126,b,52,b,I,127,f,53,b,6.255000
171,right,97,H,1,f,1,b,Te,128,b,52,b,Xe,129,f,54,f,7.220009
172,right,99,H,1,f,1,b,Te,130,b,52,b,Xe,131,f,54,f,8.791439
173,none,514,H,1,f,1,b,I,127,f,53,b,Xe,128,b,54,b,8.047200
174,left,154,H,1,f,1,b,Xe,128,b,54,b,Xe,129,f,54,f,6.128302
175,left,156,H,1,f,1,b,Xe,129,f,54,f,Xe,130,b,54,b,8.475667
176,right,102,H,1,f,1,b,Xe,129,f,54,f,Ba,130,b,56,b,5.969944
177,left,158,H,1,f,1,b,Xe,130,b,54,b,Xe,131,f,54,f,5.819977
178,left,160,H,1,f,1,b,Xe,131,f,54,f,Xe,132,b,54,b,8.150575
179,right,104,H,1,f,1,b,Xe,131,f,54,f,Ba,132,b,56,b,7.258200
180,none,1280,H,1,f,1,b,Xe,132,b,54,b,Cs,133,f,55,b,6.424500
181,right,106,H,1,f,1,b,Xe,134,b,54,b,Ba,135,f,56,f,7.128722
182,none,1281,H,1,f,1,b,Xe,136,b,54,b,Cs,137,f,55,b,7.662500
183,right,108,H,1,f,1,b,Xe,136,b,54,b,Ba,137,f,56,f,8.836151
184,none,326,H,1,f,1,b,Cs,133,f,55,b,Ba,134,b,56,b,8.015500
185,none,331,H,1,f,1,b,Cs,137,f,55,b,Ba,138,b,56,b,8.974900
186,right,110,H,1,f,1,b,Cs,137,f,55,b,La,138,b,57,f,7.298254
187,left,165,H,1,f,1,b,Ba,134,b,56,b,Ba,135,f,56,f,6.115261
188,left,167,H,1,f,1,b,Ba,135,f,56,f,Ba,136,b,56,b,8.416051
189,right,113,H,1,f,1,b,Ba,135,f,56,f,Ce,136,b,58,b,5.863753
190,left,169,H,1,f,1,b,Ba,136,b,56,b,Ba,137,f,56,f,6.171150
191,left,171,H,1,f,1,b,Ba,137,f,56,f,Ba,138,b,56,b,7.801265
192,none,88,H,1,f,1,b,Ba,137,f,56,f,La,138,b,57,f,6.124600
193,right,115,H,1,f,1,b,Ba,137,f,56,f,Ce,138,b,58,b,7.139900
194,none,90,H,1,f,1,b,Ba,138,b,56,b,La,139,f,57,b,6.310900
195,left,172,H,1,f,1,b,La,138,b,57,f,La,139,f,57,b,7.987564
196,none,602,H,1,f,1,b,La,139,f,57,b,Ce,140,b,58,b,7.512500
197,none,248,H,1,f,1,b,Ce,140,b,58,b,Pr,141,f,59,b,5.826500
198,right,119,H,1,f,1,b,Ce,142,b,58,b,Nd,143,f,60,f,6.748673
199,none,888,H,1,f,1,b,Pr,141,f,59,b,Nd,142,b,60,b,7.207000
200,left,176,H,1,f,1,b,Nd,142,b,60,b,Nd,143,f,60,f,5.293683
201,left,178,H,1,f,1,b,Nd,143,f,60,f,Nd,144,b,60,b,7.028125
202,right,122,H,1,f,1,b,Nd,143,f,60,f,Sm,144,b,62,b,5.398006
203,left,180,H,1,f,1,b,Nd,144,b,60,b,Nd,145,f,60,f,5.183767
204,left,182,H,1,f,1,b,Nd,145,f,60,f,Nd,146,b,60,b,6.795251
205,right,124,H,1,f,1,b,Nd,146,b,60,b,Sm,147,f,62,f,5.491156
206,right,126,H,1,f,1,b,Nd,148,b,60,b,Sm,149,f,62,f,6.869767
207,left,185,H,1,f,1,b,Sm,147,f,62,f,Sm,148,b,62,b,7.344833
208,left,187,H,1,f,1,b,Sm,148,b,62,b,Sm,149,f,62,f,5.081302
209,left,189,H,1,f,1,b,Sm,149,f,62,f,Sm,150,b,62,b,7.214424
210,none,1083,H,1,f,1,b,Sm,150,b,62,b,Eu,151,f,63,b,4.848400
211,none,1084,H,1,f,1,b,Sm,152,b,62,b,Eu,153,f,63,b,6.012800
212,right,131,H,1,f,1,b,Sm,154,b,62,b,Gd,155,f,64,f,6.748673
213,none,366,H,1,f,1,b,Eu,151,f,63,b,Gd,152,b,64,b,7.382100
214,none,367,H,1,f,1,b,Eu,153,f,63,b,Gd,154,b,64,b,7.419400
215,left,194,H,1,f,1,b,Gd,154,b,64,b,Gd,155,f,64,f,5.547049
216,left,196,H,1,f,1,b,Gd,155,f,64,f,Gd,156,b,64,b,7.745375
217,right,134,H,1,f,1,b,Gd,155,f,64,f,Dy,156,b,66,b,6.199091
218,left,198,H,1,f,1,b,Gd,156,b,64,b,Gd,157,f,64,f,5.574994
219,left,200,H,1,f,1,b,Gd,157,f,64,f,Gd,158,b,64,b,7.139904
220,right,136,H,1,f,1,b,Gd,157,f,64,f,Dy,158,b,66,b,7.270309
221,none,430,H,1,f,1,b,Gd,158,b,64,b,Tb,159,f,65,b,6.497200
222,right,138,H,1,f,1,b,Gd,160,b,64,b,Dy,161,f,66,f,7.773316
223,none,1159,H,1,f,1,b,Tb,159,f,65,b,Dy,160,b,66,b,7.400700
224,left,204,H,1,f,1,b,Dy,160,b,66,b,Dy,161,f,66,f,5.640199
225,left,206,H,1,f,1,b,Dy,161,f,66,f,Dy,162,b,66,b,7.410038
226,right,141,H,1,f,1,b,Dy,161,f,66,f,Er,162,b,68,b,5.239652
227,left,208,H,1,f,1,b,Dy,162,b,66,b,Dy,163,f,66,f,5.519105
228,left,210,H,1,f,1,b,Dy,163,f,66,f,Dy,164,b,66,b,6.860456
229,right,143,H,1,f,1,b,Dy,163,f,66,f,Er,164,b,68,b,6.422650
230,none,345,H,1,f,1,b,Dy,164,b,66,b,Ho,165,f,67,b,5.919600
231,none,510,H,1,f,1,b,Ho,165,f,67,b,Er,166,b,68,b,7.195800
232,left,213,H,1,f,1,b,Er,166,b,68,b,Er,167,f,68,f,5.751978
233,left,215,H,1,f,1,b,Er,167,f,68,f,Er,168,b,68,b,6.981550
234,none,356,H,1,f,1,b,Er,168,b,68,b,Tm,169,f,69,b,5.453900
235,right,146,H,1,f,1,b,Er,170,b,68,b,Yb,171,f,70,f,6.385390
236,none,1244,H,1,f,1,b,Tm,169,f,69,b,Yb,170,b,70,b,6.795200
237,left,217,H,1,f,1,b,Yb,170,b,70,b,Yb,171,f,70,f,5.798553
238,left,219,H,1,f,1,b,Yb,171,f,70,f,Yb,172,b,70,b,7.214424
239,left,221,H,1,f,1,b,Yb,172,b,70,b,Yb,173,f,70,f,5.668144
240,left,223,H,1,f,1,b,Yb,173,f,70,f,Yb,174,b,70,b,6.618268
241,right,149,H,1,f,1,b,Yb,173,f,70,f,Hf,174,b,72,b,5.463211
242,none,1309,H,1,f,1,b,Yb,174,b,70,b,Lu,175,f,71,b,5.547000
243,right,151,H,1,f,1,b,Yb,176,b,70,b,Hf,177,f,72,f,6.599634
244,left,225,H,1,f,1,b,Lu,175,f,71,b,Lu,176,b,71,f,5.565679
245,none,616,H,1,f,1,b,Lu,175,f,71,b,Hf,176,b,72,b,6.581000
246,none,618,H,1,f,1,b,Lu,176,b,71,f,Hf,177,f,72,f,6.599600
247,left,227,H,1,f,1,b,Hf,176,b,72,b,Hf,177,f,72,f,5.584309
248,left,229,H,1,f,1,b,Hf,177,f,72,f,Hf,178,b,72,b,6.925661
249,left,231,H,1,f,1,b,Hf,178,b,72,b,Hf,179,f,72,f,5.286231
250,left,233,H,1,f,1,b,Hf,179,f,72,f,Hf,180,b,72,b,6.553063
251,none,491,H,1,f,1,b,Hf,179,f,72,f,Ta,180,b,73,f,5.891700
252,right,154,H,1,f,1,b,Hf,179,f,72,f,W,180,b,74,b,6.394705
253,none,493,H,1,f,1,b,Hf,180,b,72,b,Ta,181,f,73,b,6.199100
254,left,234,H,1,f,1,b,Ta,180,b,73,f,Ta,181,f,73,b,6.860456
255,none,1152,H,1,f,1,b,Ta,181,f,73,b,W,182,b,74,b,7.018800
256,left,236,H,1,f,1,b,W,182,b,74,b,W,183,f,74,f,5.407325
257,left,238,H,1,f,1,b,W,183,f,74,f,W,184,b,74,b,6.636897
258,right,157,H,1,f,1,b,W,183,f,74,f,Os,184,b,76,b,5.174448
259,none,1270,H,1,f,1,b,W,184,b,74,b,Re,185,f,75,b,5.398000
260,none,1271,H,1,f,1,b,W,186,b,74,b,Re,187,f,75,b,5.779900
261,right,159,H,1,f,1,b,W,186,b,74,b,Os,187,f,76,f,5.779919
262,none,919,H,1,f,1,b,Re,185,f,75,b,Os,186,b,76,b,6.432000
263,none,921,H,1,f,1,b,Re,187,f,75,b,Os,188,b,76,b,7.279600
264,left,242,H,1,f,1,b,Os,186,b,76,b,Os,187,f,76,f,5.407325
265,left,244,H,1,f,1,b,Os,187,f,76,f,Os,188,b,76,b,7.279628
266,left,246,H,1,f,1,b,Os,188,b,76,b,Os,189,f,76,f,5.165137
267,left,248,H,1,f,1,b,Os,189,f,76,f,Os,190,b,76,b,6.962920
268,right,162,H,1,f,1,b,Os,189,f,76,f,Pt,190,b,78,b,5.705399
269,none,845,H,1,f,1,b,Os,190,b,76,b,Ir,191,f,77,b,5.193100
270,none,846,H,1,f,1,b,Os,192,b,76,b,Ir,193,f,77,b,5.547000
271,none,526,H,1,f,1,b,Ir,191,f,77,b,Pt,192,b,78,b,6.748700
272,none,527,H,1,f,1,b,Ir,193,f,77,b,Pt,194,b,78,b,7.726700
273,left,253,H,1,f,1,b,Pt,194,b,78,b,Pt,195,f,78,f,5.416640
274,left,255,H,1,f,1,b,Pt,195,f,78,f,Pt,196,b,78,b,7.138973
275,right,166,H,1,f,1,b,Pt,195,f,78,f,Hg,196,b,80,b,6.355582
276,none,893,H,1,f,1,b,Pt,196,b,78,b,Au,197,f,79,b,5.825600
277,right,168,H,1,f,1,b,Pt,198,b,78,b,Hg,199,f,80,f,6.612675
278,none,70,H,1,f,1,b,Au,197,f,79,b,Hg,198,b,80,b,7.057900
279,left,258,H,1,f,1,b,Hg,198,b,80,b,Hg,199,f,80,f,5.932688
280,left,260,H,1,f,1,b,Hg,199,f,80,f,Hg,200,b,80,b,7.206972
281,left,262,H,1,f,1,b,Hg,200,b,80,b,Hg,201,f,80,f,5.452968
282,left,264,H,1,f,1,b,Hg,201,f,80,f,Hg,202,b,80,b,6.995523
283,none,505,H,1,f,1,b,Hg,202,b,80,b,Tl,203,f,81,b,5.704500
284,none,506,H,1,f,1,b,Hg,204,b,80,b,Tl,205,f,81,b,6.376100
285,none,1241,H,1,f,1,b,Tl,203,f,81,b,Pb,204,b,82,b,6.601500
286,none,1242,H,1,f,1,b,Tl,205,f,81,b,Pb,206,b,82,b,7.303800
287,left,268,H,1,f,1,b,Pb,206,b,82,b,Pb,207,f,82,f,5.936414
288,left,270,H,1,f,1,b,Pb,207,f,82,f,Pb,208,b,82,b,6.594049
289,none,866,H,1,f,1,b,Pb,208,b,82,b,Bi,209,f,83,b,3.774400
290,none,2,D,2,b,1,f,D,2,b,1,f,He,4,b,2,b,23.847200
291,none,1389,D,2,b,1,f,He,4,b,2,b,Li,6,b,3,f,1.470800
292,none,610,D,2,b,1,f,Li,7,f,3,b,Be,9,f,4,f,16.693300
293,none,103,D,2,b,1,f,Be,9,f,4,f,B,11,f,5,b,15.819600
294,none,73,D,2,b,1,f,B,10,b,5,f,C,12,b,6,b,25.188500
295,none,75,D,2,b,1,f,B,11,f,5,b,C,13,f,6,f,18.679300
296,none,127,D,2,b,1,f,C,12,b,6,b,N,14,b,7,f,10.116000
297,none,129,D,2,b,1,f,C,13,f,6,f,N,15,f,7,b,16.159600
298,none,707,D,2,b,1,f,N,14,b,7,f,O,16,b,8,b,20.892500
299,none,709,D,2,b,1,f,N,15,f,7,b,O,17,f,8,f,14.043200
300,left,8,D,2,b,1,f,O,16,b,8,b,O,18,b,8,b,9.181739
301,none,820,D,2,b,1,f,O,17,f,8,f,F,19,f,9,b,13.815000
302,right,5,D,2,b,1,f,O,18,b,8,b,Ne,20,b,10,b,19.393705
303,none,374,D,2,b,1,f,F,19,f,9,b,Ne,21,f,10,f,17.379800
304,left,11,D,2,b,1,f,Ne,20,b,10,b,Ne,22,b,10,b,14.120521
305,none,758,D,2,b,1,f,Ne,21,f,10,f,Na,23,f,11,b,16.932700
306,right,6,D,2,b,1,f,Ne,22,b,10,b,Mg,24,b,12,b,19.041600
307,none,726,D,2,b,1,f,Na,23,f,11,b,Mg,25,f,12,f,16.799500
308,left,14,D,2,b,1,f,Mg,24,b,12,b,Mg,26,b,12,b,15.421818
309,none,625,D,2,b,1,f,Mg,25,f,12,f,Al,27,f,13,b,17.146000
310,right,7,D,2,b,1,f,Mg,26,b,12,b,Si,28,b,14,b,18.411910
311,none,12,D,2,b,1,f,Al,27,f,13,b,Si,29,f,14,f,17.834400
312,left,17,D,2,b,1,f,Si,28,b,14,b,Si,30,b,14,b,16.085042
313,none,1044,D,2,b,1,f,Si,29,f,14,f,P,31,f,15,b,15.677000
314,right,8,D,2,b,1,f,Si,30,b,14,b,S,32,b,16,b,14.707358
315,none,856,D,2,b,1,f,P,31,f,15,b,S,33,f,16,f,15.280200
