id,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
74,Pd,108,b,46,b,Ne,22,b,10,b,Kr,86,b,36,b,1.7866
75,Pd,102,b,46,b,Mg,26,b,12,b,Se,76,b,34,b,2.9063
76,Pd,102,b,46,b,Mg,24,b,12,b,Se,78,b,34,b,2.3725
77,Pd,104,b,46,b,Mg,26,b,12,b,Se,78,b,34,b,3.3729
78,Pd,104,b,46,b,Mg,24,b,12,b,Se,80,b,34,b,1.8658
79,Pd,105,f,46,f,Mg,25,f,12,f,Se,80,b,34,b,2.1313
80,Pd,106,b,46,b,Mg,26,b,12,b,Se,80,b,34,b,3.8163
81,Pd,102,b,46,b,Al,27,f,13,b,As,75,f,33,b,1.7000
82,Pd,102,b,46,b,Si,30,b,14,b,Ge,72,b,32,b,8.4738
83,Pd,102,b,46,b,Si,29,f,14,f,Ge,73,f,32,f,4.7404
84,Pd,102,b,46,b,Si,28,b,14,b,Ge,74,b,32,b,6.3928
85,Pd,104,b,46,b,Si,30,b,14,b,Ge,74,b,32,b,8.0565
86,Pd,104,b,46,b,Si,28,b,14,b,Ge,76,b,32,b,4.9118
87,Pd,105,f,46,f,Si,29,f,14,f,Ge,76,b,32,b,6.3239
88,Pd,106,b,46,b,Si,30,b,14,b,Ge,76,b,32,b,7.5255
89,Pd,102,b,46,b,P,31,f,15,b,Ga,71,f,31,b,5.9029
90,Pd,102,b,46,b,S,34,b,16,b,Zn,68,b,30,b,11.3735
91,Pd,102,b,46,b,S,32,b,16,b,Zn,70,b,30,b,7.0030
92,Pd,104,b,46,b,S,34,b,16,b,Zn,70,b,30,b,9.6382
93,Pd,102,b,46,b,Cl,37,f,17,b,Cu,65,f,29,b,10.4868
94,Pd,102,b,46,b,Ar,40,b,18,b,Ni,62,b,28,b,13.2375
95,Pd,102,b,46,b,Ar,38,b,18,b,Ni,64,b,28,b,13.2794
96,Pd,104,b,46,b,Ar,40,b,18,b,Ni,64,b,28,b,12.3116
97,Pd,102,b,46,b,Ca,48,b,20,b,Fe,54,b,26,b,12.0684
98,Pd,102,b,46,b,Ca,46,b,20,b,Fe,56,b,26,b,15.2011
99,Pd,104,b,46,b,Ca,48,b,20,b,Fe,56,b,26,b,15.1508
100,Pd,105,f,46,f,Ca,48,b,20,b,Fe,57,f,26,f,15.7264
101,Pd,102,b,46,b,Ca,44,b,20,b,Fe,58,b,26,b,15.0697
102,Pd,104,b,46,b,Ca,46,b,20,b,Fe,58,b,26,b,15.4619
103,Pd,106,b,46,b,Ca,48,b,20,b,Fe,58,b,26,b,16.3617
104,Pd,102,b,46,b,Ti,50,b,22,b,Cr,52,b,24,b,18.2908
105,Pd,102,b,46,b,Ti,49,f,22,f,Cr,53,f,24,f,15.2970
106,Pd,102,b,46,b,Ti,48,b,22,b,Cr,54,b,24,b,16.8722
107,Pd,104,b,46,b,Ti,50,b,22,b,Cr,54,b,24,b,18.5283
108,Pd,102,b,46,b,V,51,f,23,b,V,51,f,23,b,15.8205
109,Ag,107,f,47,b,N,15,f,7,b,Zr,92,b,40,b,0.2534
110,Ag,107,f,47,b,O,18,b,8,b,Y,89,f,39,b,0.3540
111,Ag,107,f,47,b,F,19,f,9,b,Sr,88,b,38,b,0.8896
112,Ag,107,f,47,b,Ne,22,b,10,b,Rb,85,f,37,b,1.7466
113,Ag,107,f,47,b,Ne,20,b,10,b,Rb,87,f,37,b,3.1186
114,Ag,109,f,47,b,Ne,22,b,10,b,Rb,87,f,37,b,3.8517
115,Ag,107,f,47,b,Na,23,f,11,b,Kr,84,b,36,b,3.4400
116,Ag,109,f,47,b,Na,23,f,11,b,Kr,86,b,36,b,4.0147
117,Ag,107,f,47,b,Mg,26,b,12,b,Br,81,f,35,b,5.6216
118,Ag,107,f,47,b,Al,27,f,13,b,Se,80,b,34,b,6.4487
119,Ag,107,f,47,b,P,31,f,15,b,Ge,76,b,32,b,9.1724
120,Ag,107,f,47,b,Cl,37,f,17,b,Zn,70,b,30,b,12.7857
121,Ag,107,f,47,b,Ca,48,b,20,b,Co,59,f,27,b,18.0868
122,Cd,106,b,48,b,C,12,b,6,b,Mo,94,b,42,b,1.1271
123,Cd,106,b,48,b,O,16,b,8,b,Zr,90,b,40,b,6.2550
124,Cd,108,b,48,b,O,18,b,8,b,Zr,90,b,40,b,0.4844
125,Cd,108,b,48,b,O,16,b,8,b,Zr,92,b,40,b,4.1871
126,Cd,110,b,48,b,O,16,b,8,b,Zr,94,b,40,b,1.7838
127,Cd,108,b,48,b,F,19,f,9,b,Y,89,f,39,b,0.1537
128,Cd,106,b,48,b,Ne,22,b,10,b,Sr,84,b,38,b,1.1075
129,Cd,106,b,48,b,Ne,20,b,10,b,Sr,86,b,38,b,3.9570
130,Cd,108,b,48,b,Ne,22,b,10,b,Sr,86,b,38,b,3.1252
131,Cd,108,b,48,b,Ne,21,f,10,f,Sr,87,f,38,f,1.1746
132,Cd,108,b,48,b,Ne,20,b,10,b,Sr,88,b,38,b,5.5405
133,Cd,110,b,48,b,Ne,22,b,10,b,Sr,88,b,38,b,5.5657
134,Cd,110,b,48,b,Ne,20,b,10,b,Sr,90,b,38,b,2.9789
135,Cd,111,f,48,f,Ne,21,f,10,f,Sr,90,b,38,b,3.1028
136,Cd,112,b,48,b,Ne,22,b,10,b,Sr,90,b,38,b,3.8424
137,Cd,108,b,48,b,Na,23,f,11,b,Rb,85,f,37,b,2.3446
138,Cd,110,b,48,b,Na,23,f,11,b,Rb,87,f,37,b,3.7418
