id,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
325,Ba,130,b,56,b,S,34,b,16,b,Zr,96,b,40,b,28.0706
326,Ba,130,b,56,b,Ar,40,b,18,b,Sr,90,b,38,b,33.9865
327,Ba,130,b,56,b,Ca,48,b,20,b,Kr,82,b,36,b,37.5895
328,Ba,130,b,56,b,Ca,46,b,20,b,Kr,84,b,36,b,38.1978
329,Ba,132,b,56,b,Ca,48,b,20,b,Kr,84,b,36,b,38.4269
330,Ba,130,b,56,b,Ca,44,b,20,b,Kr,86,b,36,b,37.3464
331,Ba,132,b,56,b,Ca,46,b,20,b,Kr,86,b,36,b,38.0180
332,Ba,134,b,56,b,Ca,48,b,20,b,Kr,86,b,36,b,38.4987
333,Ba,130,b,56,b,Ti,50,b,22,b,Se,80,b,34,b,41.8222
334,Ba,130,b,56,b,Cr,54,b,24,b,Ge,76,b,32,b,42.8124
335,La,139,f,57,b,N,15,f,7,b,Sn,124,b,50,b,0.6632
336,Ce,142,b,58,b,He,4,b,2,b,Ba,138,b,56,b,1.3292
337,Ce,136,b,58,b,C,12,b,6,b,Te,124,b,52,b,4.0427
338,Ce,138,b,58,b,C,12,b,6,b,Te,126,b,52,b,2.3082
339,Ce,140,b,58,b,C,12,b,6,b,Te,128,b,52,b,1.0340
340,Ce,142,b,58,b,C,12,b,6,b,Te,130,b,52,b,2.1797
341,Ce,136,b,58,b,N,15,f,7,b,Sb,121,f,51,b,3.0199
342,Ce,138,b,58,b,N,15,f,7,b,Sb,123,f,51,b,1.3618
343,Ce,136,b,58,b,O,18,b,8,b,Sn,118,b,50,b,5.7287
344,Ce,136,b,58,b,O,17,f,8,f,Sn,119,f,50,f,4.2625
345,Ce,136,b,58,b,O,16,b,8,b,Sn,120,b,50,b,9.3662
346,Ce,138,b,58,b,O,18,b,8,b,Sn,120,b,50,b,4.1265
347,Ce,138,b,58,b,O,16,b,8,b,Sn,122,b,50,b,6.8884
348,Ce,140,b,58,b,O,18,b,8,b,Sn,122,b,50,b,3.0274
349,Ce,140,b,58,b,O,16,b,8,b,Sn,124,b,50,b,5.2769
350,Ce,142,b,58,b,O,18,b,8,b,Sn,124,b,50,b,4.3221
351,Ce,136,b,58,b,Ne,22,b,10,b,Cd,114,b,48,b,11.3130
352,Ce,136,b,58,b,Ne,20,b,10,b,Cd,116,b,48,b,8.9871
353,Ce,138,b,58,b,Ne,22,b,10,b,Cd,116,b,48,b,8.6862
354,Ce,136,b,58,b,Mg,26,b,12,b,Pd,110,b,46,b,18.6383
355,Ce,136,b,58,b,Ar,40,b,18,b,Zr,96,b,40,b,34.0144
356,Ce,136,b,58,b,Ca,48,b,20,b,Sr,88,b,38,b,45.7615
357,Ce,136,b,58,b,Ca,46,b,20,b,Sr,90,b,38,b,42.9242
358,Ce,138,b,58,b,Ca,48,b,20,b,Sr,90,b,38,b,42.8739
359,Ce,136,b,58,b,Ti,50,b,22,b,Kr,86,b,36,b,48.1517
360,Pr,141,f,59,b,N,15,f,7,b,Te,126,b,52,b,3.7632
361,Pr,141,f,59,b,O,18,b,8,b,Sb,123,f,51,b,3.8005
362,Pr,141,f,59,b,F,19,f,9,b,Sn,122,b,50,b,5.1931
363,Nd,144,b,60,b,He,4,b,2,b,Ce,140,b,58,b,1.3758
364,Nd,146,b,60,b,He,4,b,2,b,Ce,142,b,58,b,0.9753
365,Nd,148,b,60,b,B,11,f,5,b,Cs,137,f,55,b,0.3307
366,Nd,142,b,60,b,C,12,b,6,b,Xe,130,b,54,b,3.6962
367,Nd,143,f,60,f,C,13,f,6,f,Xe,130,b,54,b,2.5672
368,Nd,143,f,60,f,C,12,b,6,b,Xe,131,f,54,f,4.2225
369,Nd,144,b,60,b,C,13,f,6,f,Xe,131,f,54,f,1.3590
370,Nd,144,b,60,b,C,12,b,6,b,Xe,132,b,54,b,5.3449
371,Nd,145,f,60,f,C,13,f,6,f,Xe,132,b,54,b,4.3259
372,Nd,146,b,60,b,C,12,b,6,b,Xe,134,b,54,b,6.7925
373,Nd,148,b,60,b,C,12,b,6,b,Xe,136,b,54,b,8.6247
374,Nd,142,b,60,b,N,15,f,7,b,I,127,f,53,b,2.8112
375,Nd,142,b,60,b,O,18,b,8,b,Te,124,b,52,b,5.1772
376,Nd,142,b,60,b,O,17,f,8,f,Te,125,f,52,f,3.6552
377,Nd,143,f,60,f,O,18,b,8,b,Te,125,f,52,f,5.6262
378,Nd,142,b,60,b,O,16,b,8,b,Te,126,b,52,b,8.6825
379,Nd,143,f,60,f,O,17,f,8,f,Te,126,b,52,b,6.7477
380,Nd,144,b,60,b,O,18,b,8,b,Te,126,b,52,b,6.9843
381,Nd,144,b,60,b,O,16,b,8,b,Te,128,b,52,b,9.5711
382,Nd,145,f,60,f,O,17,f,8,f,Te,128,b,52,b,7.7463
383,Nd,146,b,60,b,O,18,b,8,b,Te,128,b,52,b,8.2158
384,Nd,146,b,60,b,O,16,b,8,b,Te,130,b,52,b,10.3163
385,Nd,148,b,60,b,O,18,b,8,b,Te,130,b,52,b,9.8925
386,Nd,142,b,60,b,F,19,f,9,b,Sb,123,f,51,b,4.5857
387,Nd,142,b,60,b,Ne,22,b,10,b,Sn,120,b,50,b,13.0065
388,Nd,142,b,60,b,Ne,20,b,10,b,Sn,122,b,50,b,10.8296
389,Nd,143,f,60,f,Ne,21,f,10,f,Sn,122,b,50,b,11.5142
390,Nd,144,b,60,b,Ne,22,b,10,b,Sn,122,b,50,b,14.0702
391,Nd,144,b,60,b,Ne,20,b,10,b,Sn,124,b,50,b,11.3810
392,Nd,145,f,60,f,Ne,21,f,10,f,Sn,124,b,50,b,12.1756
393,Nd,146,b,60,b,Ne,22,b,10,b,Sn,124,b,50,b,14.9645
394,Nd,142,b,60,b,Mg,26,b,12,b,Cd,116,b,48,b,18.5153
395,Nd,142,b,60,b,Ca,48,b,20,b,Zr,94,b,40,b,45.6199
396,Nd,142,b,60,b,Ca,46,b,20,b,Zr,96,b,40,b,42.4659
397,Nd,144,b,60,b,Ca,48,b,20,b,Zr,96,b,40,b,45.9571
398,Sm,147,f,62,f,He,4,b,2,b,Nd,143,f,60,f,2.2328
399,Sm,148,b,62,b,He,4,b,2,b,Nd,144,b,60,b,1.9161
400,Sm,149,f,62,f,He,4,b,2,b,Nd,145,f,60,f,2.0185
401,Sm,150,b,62,b,He,4,b,2,b,Nd,146,b,60,b,1.5994
402,Sm,152,b,62,b,He,4,b,2,b,Nd,148,b,60,b,0.3791
403,Sm,149,f,62,f,B,11,f,5,b,La,138,b,57,f,0.7592
404,Sm,150,b,62,b,B,11,f,5,b,La,139,f,57,b,1.5323
405,Sm,144,b,62,b,C,12,b,6,b,Ba,132,b,56,b,6.0827
406,Sm,147,f,62,f,C,13,f,6,f,Ba,134,b,56,b,6.4795
407,Sm,147,f,62,f,C,12,b,6,b,Ba,135,f,56,f,8.4300
408,Sm,148,b,62,b,C,13,f,6,f,Ba,135,f,56,f,5.2499
409,Sm,148,b,62,b,C,12,b,6,b,Ba,136,b,56,b,9.5012
410,Sm,149,f,62,f,C,13,f,6,f,Ba,136,b,56,b,8.5846
411,Sm,149,f,62,f,C,12,b,6,b,Ba,137,f,56,f,10.5911
412,Sm,150,b,62,b,C,13,f,6,f,Ba,137,f,56,f,7.5414
413,Sm,150,b,62,b,C,12,b,6,b,Ba,138,b,56,b,11.1779
414,Sm,147,f,62,f,N,14,b,7,f,Cs,133,f,55,b,5.8572
415,Sm,148,b,62,b,N,15,f,7,b,Cs,133,f,55,b,8.7206
416,Sm,152,b,62,b,N,15,f,7,b,Cs,137,f,55,b,11.7014
417,Sm,144,b,62,b,O,18,b,8,b,Xe,126,b,54,b,7.7510
418,Sm,144,b,62,b,O,16,b,8,b,Xe,128,b,54,b,12.2929
419,Sm,147,f,62,f,O,18,b,8,b,Xe,129,f,54,f,9.9446
420,Sm,147,f,62,f,O,17,f,8,f,Xe,130,b,54,b,11.1556
421,Sm,148,b,62,b,O,18,b,8,b,Xe,130,b,54,b,11.0755
422,Sm,147,f,62,f,O,16,b,8,b,Xe,131,f,54,f,13.6166
423,Sm,148,b,62,b,O,17,f,8,f,Xe,131,f,54,f,9.6307
424,Sm,149,f,62,f,O,18,b,8,b,Xe,131,f,54,f,11.8141
425,Sm,148,b,62,b,O,16,b,8,b,Xe,132,b,54,b,14.4223
426,Sm,149,f,62,f,O,17,f,8,f,Xe,132,b,54,b,12.7000
427,Sm,150,b,62,b,O,18,b,8,b,Xe,132,b,54,b,12.7503
428,Sm,150,b,62,b,O,16,b,8,b,Xe,134,b,54,b,15.5532
429,Sm,152,b,62,b,O,18,b,8,b,Xe,134,b,54,b,13.9091
430,Sm,152,b,62,b,O,16,b,8,b,Xe,136,b,54,b,16.1651
431,Sm,154,b,62,b,O,18,b,8,b,Xe,136,b,54,b,14.5583
432,Sm,144,b,62,b,Ne,22,b,10,b,Te,122,b,52,b,16.0822
433,Sm,144,b,62,b,Ne,21,f,10,f,Te,123,f,52,f,12.6879
434,Sm,144,b,62,b,Ne,20,b,10,b,Te,124,b,52,b,15.3212
435,Sm,147,f,62,f,Ne,22,b,10,b,Te,125,f,52,f,17.5261
436,Sm,147,f,62,f,Ne,21,f,10,f,Te,126,b,52,b,16.3282
437,Sm,148,b,62,b,Ne,22,b,10,b,Te,126,b,52,b,18.5675
438,Sm,148,b,62,b,Ne,20,b,10,b,Te,128,b,52,b,16.2154
439,Sm,149,f,62,f,Ne,21,f,10,f,Te,128,b,52,b,17.1125
440,Sm,150,b,62,b,Ne,22,b,10,b,Te,128,b,52,b,19.4822
441,Sm,150,b,62,b,Ne,20,b,10,b,Te,130,b,52,b,16.6439
442,Sm,152,b,62,b,Ne,22,b,10,b,Te,130,b,52,b,19.9386
443,Sm,144,b,62,b,Na,23,f,11,b,Sb,121,f,51,b,16.8852
444,Sm,144,b,62,b,Mg,26,b,12,b,Sn,118,b,50,b,25.4009
445,Sm,144,b,62,b,Mg,25,f,12,f,Sn,119,f,50,f,20.8841
446,Sm,144,b,62,b,Mg,24,b,12,b,Sn,120,b,50,b,22.7983
447,Sm,147,f,62,f,Mg,25,f,12,f,Sn,122,b,50,b,23.6320
448,Sm,148,b,62,b,Mg,26,b,12,b,Sn,122,b,50,b,26.6025
449,Sm,148,b,62,b,Mg,24,b,12,b,Sn,124,b,50,b,22.6120
450,Sm,149,f,62,f,Mg,25,f,12,f,Sn,124,b,50,b,24.0791
451,Sm,150,b,62,b,Mg,26,b,12,b,Sn,124,b,50,b,27.1801
452,Sm,144,b,62,b,Si,30,b,14,b,Cd,114,b,48,b,31.9679
453,Sm,144,b,62,b,Si,28,b,14,b,Cd,116,b,48,b,27.6775
454,Sm,144,b,62,b,S,34,b,16,b,Pd,110,b,46,b,36.5937
455,Sm,144,b,62,b,Ar,40,b,18,b,Ru,104,b,44,b,40.7398
456,Sm,144,b,62,b,Ca,48,b,20,b,Mo,96,b,42,b,50.9872
457,Sm,144,b,62,b,Ca,46,b,20,b,Mo,98,b,42,b,48.8578
458,Sm,144,b,62,b,Ca,44,b,20,b,Mo,100,b,42,b,45.2613
459,Sm,148,b,62,b,Ca,48,b,20,b,Mo,100,b,42,b,50.8847
460,Sm,144,b,62,b,Ti,50,b,22,b,Zr,94,b,40,b,56.5603
461,Sm,144,b,62,b,Ti,48,b,22,b,Zr,96,b,40,b,51.6998
462,Sm,144,b,62,b,Cr,54,b,24,b,Sr,90,b,38,b,60.9579
463,Sm,144,b,62,b,Fe,58,b,26,b,Kr,86,b,36,b,63.1190
464,Sm,144,b,62,b,Ni,64,b,28,b,Se,80,b,34,b,62.5768
465,Sm,144,b,62,b,Zn,70,b,30,b,Ge,74,b,32,b,60.6887
466,Sm,144,b,62,b,Zn,68,b,30,b,Ge,76,b,32,b,60.9430
467,Eu,151,f,63,b,B,11,f,5,b,Ce,140,b,58,b,4.1964
468,Eu,153,f,63,b,B,11,f,5,b,Ce,142,b,58,b,2.3427
469,Eu,151,f,63,b,C,13,f,6,f,La,138,b,57,f,8.8175
470,Eu,151,f,63,b,C,12,b,6,b,La,139,f,57,b,12.6404
471,Eu,151,f,63,b,N,15,f,7,b,Ba,136,b,56,b,14.1233
472,Eu,151,f,63,b,N,14,b,7,f,Ba,137,f,56,f,10.0862
473,Eu,153,f,63,b,N,15,f,7,b,Ba,138,b,56,b,14.6636
474,Eu,151,f,63,b,O,18,b,8,b,Cs,133,f,55,b,14.3264
475,Eu,153,f,63,b,O,16,b,8,b,Cs,137,f,55,b,17.8148
476,Eu,151,f,63,b,F,19,f,9,b,Xe,132,b,54,b,15.8941
477,Eu,153,f,63,b,F,19,f,9,b,Xe,134,b,54,b,15.8885
478,Eu,151,f,63,b,Na,23,f,11,b,Te,128,b,52,b,23.4243
479,Eu,153,f,63,b,Na,23,f,11,b,Te,130,b,52,b,22.7163
480,Eu,151,f,63,b,Al,27,f,13,b,Sn,124,b,50,b,30.6042
481,Gd,152,b,64,b,He,4,b,2,b,Sm,148,b,62,b,2.2048
482,Gd,154,b,64,b,He,4,b,2,b,Sm,150,b,62,b,1.0312
483,Gd,156,b,64,b,He,4,b,2,b,Sm,152,b,62,b,0.0065
484,Gd,152,b,64,b,B,11,f,5,b,Pr,141,f,59,b,2.6408
485,Gd,152,b,64,b,C,12,b,6,b,Ce,140,b,58,b,12.7708
486,Gd,154,b,64,b,C,12,b,6,b,Ce,142,b,58,b,10.8799
487,Gd,155,f,64,f,C,13,f,6,f,Ce,142,b,58,b,9.4975
488,Gd,152,b,64,b,N,14,b,7,f,La,138,b,57,f,8.8287
489,Gd,154,b,64,b,N,15,f,7,b,La,139,f,57,b,13.5551
490,Gd,152,b,64,b,O,18,b,8,b,Ba,134,b,56,b,14.9598
491,Gd,152,b,64,b,O,17,f,8,f,Ba,135,f,56,f,13.8103
492,Gd,152,b,64,b,O,16,b,8,b,Ba,136,b,56,b,18.8674
493,Gd,154,b,64,b,O,18,b,8,b,Ba,136,b,56,b,16.0217
494,Gd,154,b,64,b,O,17,f,8,f,Ba,137,f,56,f,14.9281
495,Gd,155,f,64,f,O,18,b,8,b,Ba,137,f,56,f,16.6458
496,Gd,154,b,64,b,O,16,b,8,b,Ba,138,b,56,b,19.3704
497,Gd,155,f,64,f,O,17,f,8,f,Ba,138,b,56,b,17.1823
498,Gd,156,b,64,b,O,18,b,8,b,Ba,138,b,56,b,16.7017
499,Gd,152,b,64,b,F,19,f,9,b,Cs,133,f,55,b,14.9365
500,Gd,156,b,64,b,F,19,f,9,b,Cs,137,f,55,b,15.7190
501,Gd,152,b,64,b,Ne,22,b,10,b,Xe,130,b,54,b,22.9474
502,Gd,152,b,64,b,Ne,21,f,10,f,Xe,131,f,54,f,19.1832
503,Gd,152,b,64,b,Ne,20,b,10,b,Xe,132,b,54,b,21.3554
504,Gd,154,b,64,b,Ne,22,b,10,b,Xe,132,b,54,b,23.4485
505,Gd,154,b,64,b,Ne,20,b,10,b,Xe,134,b,54,b,21.3126
506,Gd,155,f,64,f,Ne,21,f,10,f,Xe,134,b,54,b,21.7439
507,Gd,156,b,64,b,Ne,22,b,10,b,Xe,134,b,54,b,23.5826
508,Gd,156,b,64,b,Ne,20,b,10,b,Xe,136,b,54,b,20.8999
509,Gd,157,f,64,f,Ne,21,f,10,f,Xe,136,b,54,b,21.3033
510,Gd,158,b,64,b,Ne,22,b,10,b,Xe,136,b,54,b,23.7475
511,Gd,152,b,64,b,Mg,26,b,12,b,Te,126,b,52,b,31.3886
512,Gd,152,b,64,b,Mg,24,b,12,b,Te,128,b,52,b,27.7352
513,Gd,154,b,64,b,Mg,26,b,12,b,Te,128,b,52,b,31.1296
514,Gd,154,b,64,b,Mg,24,b,12,b,Te,130,b,52,b,26.9900
515,Gd,155,f,64,f,Mg,25,f,12,f,Te,130,b,52,b,27.9914
516,Gd,156,b,64,b,Mg,26,b,12,b,Te,130,b,52,b,30.5614
517,Gd,152,b,64,b,Si,30,b,14,b,Sn,122,b,50,b,39.4572
518,Gd,152,b,64,b,Si,28,b,14,b,Sn,124,b,50,b,34.8034
519,Gd,154,b,64,b,Si,30,b,14,b,Sn,124,b,50,b,38.8610
520,Gd,152,b,64,b,Ca,48,b,20,b,Ru,104,b,44,b,57.4145
521,Gd,152,b,64,b,Ge,76,b,32,b,Ge,76,b,32,b,71.5481
522,Tb,159,f,65,b,Ne,22,b,10,b,Cs,137,f,55,b,24.9128
523,Tb,159,f,65,b,Na,23,f,11,b,Xe,136,b,54,b,26.0408
524,Dy,156,b,66,b,He,4,b,2,b,Gd,152,b,64,b,1.5155
525,Dy,158,b,66,b,He,4,b,2,b,Gd,154,b,64,b,0.5934
526,Dy,160,b,66,b,He,4,b,2,b,Gd,156,b,64,b,0.1183
527,Dy,161,f,66,f,He,4,b,2,b,Gd,157,f,64,f,0.0531
528,Dy,156,b,66,b,C,13,f,6,f,Nd,143,f,60,f,10.0471
529,Dy,156,b,66,b,C,12,b,6,b,Nd,144,b,60,b,12.9105
530,Dy,158,b,66,b,C,13,f,6,f,Nd,145,f,60,f,7.8674
531,Dy,158,b,66,b,C,12,b,6,b,Nd,146,b,60,b,10.4979
532,Dy,160,b,66,b,C,12,b,6,b,Nd,148,b,60,b,7.7780
533,Dy,161,f,66,f,C,13,f,6,f,Nd,148,b,60,b,6.3025
534,Dy,162,b,66,b,C,12,b,6,b,Nd,150,b,60,b,5.3654
535,Dy,163,f,66,f,C,13,f,6,f,Nd,150,b,60,b,4.0110
536,Dy,156,b,66,b,N,15,f,7,b,Pr,141,f,59,b,15.1480
537,Dy,156,b,66,b,O,18,b,8,b,Ce,138,b,58,b,17.5866
538,Dy,156,b,66,b,O,16,b,8,b,Ce,140,b,58,b,21.4477
539,Dy,158,b,66,b,O,18,b,8,b,Ce,140,b,58,b,17.6798
540,Dy,158,b,66,b,O,16,b,8,b,Ce,142,b,58,b,18.6345
541,Dy,160,b,66,b,O,18,b,8,b,Ce,142,b,58,b,15.4907
542,Dy,158,b,66,b,F,19,f,9,b,La,139,f,57,b,18.1595
543,Dy,156,b,66,b,Ne,22,b,10,b,Ba,134,b,56,b,26.1424
544,Dy,156,b,66,b,Ne,21,f,10,f,Ba,135,f,56,f,22.6735
545,Dy,156,b,66,b,Ne,20,b,10,b,Ba,136,b,56,b,25.1112
546,Dy,158,b,66,b,Ne,22,b,10,b,Ba,136,b,56,b,26.2821
547,Dy,158,b,66,b,Ne,21,f,10,f,Ba,137,f,56,f,22.8691
548,Dy,158,b,66,b,Ne,20,b,10,b,Ba,138,b,56,b,24.6920
549,Dy,160,b,66,b,Ne,22,b,10,b,Ba,138,b,56,b,26.4870
550,Dy,156,b,66,b,Na,23,f,11,b,Cs,133,f,55,b,26.9174
551,Dy,160,b,66,b,Na,23,f,11,b,Cs,137,f,55,b,26.3026
552,Dy,156,b,66,b,Mg,26,b,12,b,Xe,130,b,54,b,35.0791
553,Dy,156,b,66,b,Mg,25,f,12,f,Xe,131,f,54,f,30.5837
554,Dy,156,b,66,b,Mg,24,b,12,b,Xe,132,b,54,b,32.1859
555,Dy,158,b,66,b,Mg,26,b,12,b,Xe,132,b,54,b,34.6581
556,Dy,158,b,66,b,Mg,24,b,12,b,Xe,134,b,54,b,31.2209
557,Dy,160,b,66,b,Mg,26,b,12,b,Xe,134,b,54,b,34.3172
558,Dy,160,b,66,b,Mg,24,b,12,b,Xe,136,b,54,b,30.3332
559,Dy,161,f,66,f,Mg,25,f,12,f,Xe,136,b,54,b,31.2414
560,Dy,162,b,66,b,Mg,26,b,12,b,Xe,136,b,54,b,34.1467
561,Dy,156,b,66,b,Si,30,b,14,b,Te,126,b,52,b,43.5539
562,Dy,156,b,66,b,Si,28,b,14,b,Te,128,b,52,b,39.2373
563,Dy,158,b,66,b,Si,30,b,14,b,Te,128,b,52,b,42.3727
564,Dy,158,b,66,b,Si,28,b,14,b,Te,130,b,52,b,37.5700
565,Dy,160,b,66,b,Si,30,b,14,b,Te,130,b,52,b,41.3295
566,Dy,156,b,66,b,S,34,b,16,b,Sn,122,b,50,b,48.8895
567,Dy,156,b,66,b,S,32,b,16,b,Sn,124,b,50,b,43.2642
568,Dy,158,b,66,b,S,34,b,16,b,Sn,124,b,50,b,47.3711
569,Dy,156,b,66,b,Ar,40,b,18,b,Cd,116,b,48,b,52.5046
570,Dy,156,b,66,b,Ca,48,b,20,b,Pd,108,b,46,b,62.8544
571,Dy,156,b,66,b,Ca,46,b,20,b,Pd,110,b,46,b,61.0790
572,Dy,158,b,66,b,Ca,48,b,20,b,Pd,110,b,46,b,62.5005
573,Dy,156,b,66,b,Zn,70,b,30,b,Kr,86,b,36,b,81.7805
574,Dy,156,b,66,b,Ge,76,b,32,b,Se,80,b,34,b,80.0042
575,Ho,165,f,67,b,N,15,f,7,b,Nd,150,b,60,b,8.8324
576,Er,162,b,68,b,He,4,b,2,b,Dy,158,b,66,b,2.0838
577,Er,164,b,68,b,He,4,b,2,b,Dy,160,b,66,b,1.7391
578,Er,166,b,68,b,He,4,b,2,b,Dy,162,b,66,b,1.2361
579,Er,167,f,68,f,He,4,b,2,b,Dy,163,f,66,f,1.0032
580,Er,168,b,68,b,He,4,b,2,b,Dy,164,b,66,b,0.8821
581,Er,162,b,68,b,C,13,f,6,f,Sm,149,f,62,f,7.9326
582,Er,162,b,68,b,C,12,b,6,b,Sm,150,b,62,b,10.9823
583,Er,164,b,68,b,C,12,b,6,b,Sm,152,b,62,b,9.1380
584,Er,166,b,68,b,C,12,b,6,b,Sm,154,b,62,b,7.8152
585,Er,167,f,68,f,C,13,f,6,f,Sm,154,b,62,b,6.2280
586,Er,162,b,68,b,O,18,b,8,b,Nd,144,b,60,b,18.3877
587,Er,162,b,68,b,O,17,f,8,f,Nd,145,f,60,f,16.3067
588,Er,162,b,68,b,O,16,b,8,b,Nd,146,b,60,b,19.7430
589,Er,164,b,68,b,O,18,b,8,b,Nd,146,b,60,b,16.2546
590,Er,164,b,68,b,O,16,b,8,b,Nd,148,b,60,b,16.6784
591,Er,166,b,68,b,O,18,b,8,b,Nd,148,b,60,b,13.7489
592,Er,166,b,68,b,O,16,b,8,b,Nd,150,b,60,b,13.7628
593,Er,167,f,68,f,O,17,f,8,f,Nd,150,b,60,b,11.3698
594,Er,168,b,68,b,O,18,b,8,b,Nd,150,b,60,b,11.6530
595,Er,162,b,68,b,Ne,22,b,10,b,Ce,140,b,58,b,29.4306
596,Er,162,b,68,b,Ne,20,b,10,b,Ce,142,b,58,b,25.4466
597,Er,164,b,68,b,Ne,22,b,10,b,Ce,142,b,58,b,26.8969
598,Er,162,b,68,b,Na,23,f,11,b,La,139,f,57,b,30.7086
599,Er,162,b,68,b,Mg,26,b,12,b,Ba,136,b,56,b,38.9821
600,Er,162,b,68,b,Mg,25,f,12,f,Ba,137,f,56,f,34.8379
601,Er,162,b,68,b,Mg,24,b,12,b,Ba,138,b,56,b,36.0907
602,Er,164,b,68,b,Mg,26,b,12,b,Ba,138,b,56,b,38.8424
603,Er,164,b,68,b,Al,27,f,13,b,Cs,137,f,55,b,38.1400
604,Er,162,b,68,b,Si,30,b,14,b,Xe,132,b,54,b,47.3916
605,Er,162,b,68,b,Si,28,b,14,b,Xe,134,b,54,b,43.2912
606,Er,164,b,68,b,Si,30,b,14,b,Xe,134,b,54,b,46.7060
607,Er,164,b,68,b,Si,28,b,14,b,Xe,136,b,54,b,42.0588
608,Er,166,b,68,b,Si,30,b,14,b,Xe,136,b,54,b,46.0326
609,Er,162,b,68,b,S,34,b,16,b,Te,128,b,52,b,52.3733
610,Er,162,b,68,b,S,32,b,16,b,Te,130,b,52,b,46.5989
611,Er,164,b,68,b,S,34,b,16,b,Te,130,b,52,b,50.9853
612,Er,162,b,68,b,Ar,40,b,18,b,Sn,122,b,50,b,58.6897
613,Er,162,b,68,b,Ar,38,b,18,b,Sn,124,b,50,b,56.6674
614,Er,164,b,68,b,Ar,40,b,18,b,Sn,124,b,50,b,57.4508
615,Er,162,b,68,b,Ca,48,b,20,b,Cd,114,b,48,b,67.8752
616,Er,162,b,68,b,Ca,46,b,20,b,Cd,116,b,48,b,65.2987
617,Er,164,b,68,b,Ca,48,b,20,b,Cd,116,b,48,b,66.9996
618,Er,162,b,68,b,Ge,76,b,32,b,Kr,86,b,36,b,90.1901
619,Tm,169,f,69,b,He,4,b,2,b,Ho,165,f,67,b,1.3479
620,Tm,169,f,69,b,B,11,f,5,b,Gd,158,b,64,b,0.8803
621,Tm,169,f,69,b,N,15,f,7,b,Sm,154,b,62,b,11.3940
622,Tm,169,f,69,b,F,19,f,9,b,Nd,150,b,60,b,14.1913
623,Yb,170,b,70,b,He,4,b,2,b,Er,166,b,68,b,1.7484
624,Yb,171,f,70,f,He,4,b,2,b,Er,167,f,68,f,1.7018
625,Yb,172,b,70,b,He,4,b,2,b,Er,168,b,68,b,1.4690
626,Yb,174,b,70,b,He,4,b,2,b,Er,170,b,68,b,0.8449
627,Yb,170,b,70,b,B,11,f,5,b,Tb,159,f,65,b,0.5822
628,Yb,170,b,70,b,C,13,f,6,f,Gd,157,f,64,f,7.0663
629,Yb,170,b,70,b,C,12,b,6,b,Gd,158,b,64,b,10.0415
630,Yb,171,f,70,f,C,13,f,6,f,Gd,158,b,64,b,8.4077
631,Yb,172,b,70,b,C,12,b,6,b,Gd,160,b,64,b,8.7933
632,Yb,173,f,70,f,C,13,f,6,f,Gd,160,b,64,b,7.2899
633,Yb,170,b,70,b,O,18,b,8,b,Sm,152,b,62,b,15.1181
634,Yb,170,b,70,b,O,16,b,8,b,Sm,154,b,62,b,16.7250
635,Yb,171,f,70,f,O,17,f,8,f,Sm,154,b,62,b,14.2854
636,Yb,172,b,70,b,O,18,b,8,b,Sm,154,b,62,b,14.3357
637,Yb,170,b,70,b,Ne,22,b,10,b,Nd,148,b,60,b,25.1643
638,Yb,170,b,70,b,Ne,20,b,10,b,Nd,150,b,60,b,20.2395
639,Yb,171,f,70,f,Ne,21,f,10,f,Nd,150,b,60,b,20.4193
640,Yb,172,b,70,b,Ne,22,b,10,b,Nd,150,b,60,b,22.7890
641,Yb,170,b,70,b,S,34,b,16,b,Xe,136,b,54,b,55.6978
642,Yb,170,b,70,b,Ar,40,b,18,b,Te,130,b,52,b,61.2886
643,Yb,170,b,70,b,Ca,48,b,20,b,Sn,122,b,50,b,73.6877
644,Yb,170,b,70,b,Ca,46,b,20,b,Sn,124,b,50,b,70.7479
645,Yb,172,b,70,b,Ca,48,b,20,b,Sn,124,b,50,b,73.5480
646,Lu,175,f,71,b,B,11,f,5,b,Dy,164,b,66,b,2.5663
647,Lu,175,f,71,b,N,15,f,7,b,Gd,160,b,64,b,12.7261
648,Hf,174,b,72,b,He,4,b,2,b,Yb,170,b,70,b,2.5868
649,Hf,176,b,72,b,He,4,b,2,b,Yb,172,b,70,b,2.3166
650,Hf,177,f,72,f,He,4,b,2,b,Yb,173,f,70,f,2.4005
651,Hf,178,b,72,b,He,4,b,2,b,Yb,174,b,70,b,2.0931
652,Hf,180,b,72,b,He,4,b,2,b,Yb,176,b,70,b,1.3665
653,Hf,176,b,72,b,B,11,f,5,b,Ho,165,f,67,b,1.9049
654,Hf,174,b,72,b,C,13,f,6,f,Dy,161,f,66,f,9.6000
655,Hf,174,b,72,b,C,12,b,6,b,Dy,162,b,66,b,12.8453
656,Hf,176,b,72,b,C,13,f,6,f,Dy,163,f,66,f,9.2460
657,Hf,176,b,72,b,C,12,b,6,b,Dy,164,b,66,b,11.9418
658,Hf,177,f,72,f,C,13,f,6,f,Dy,164,b,66,b,10.5222
659,Hf,174,b,72,b,N,15,f,7,b,Tb,159,f,65,b,14.1606
660,Hf,174,b,72,b,O,18,b,8,b,Gd,156,b,64,b,17.6984
